fold,half_life_days,l2,alpha,beta,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,kelly_final_bankroll,kelly_pnl_pct,kelly_n_bets
fold1_val2024,365.25,0.001,0.10304759069891994,1.0746129523762018,5020.529666784349,6.685328399995342,1.6330921365496316,0.7458389599475199,0.005691383851829073,0.38163481953290873,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.001,-0.01618644578992661,1.0871286231198147,5067.136956612597,6.753804100095294,1.6385404971879283,0.7492201685754218,0.005631221101717197,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.001,-0.016033613564560165,1.0373670317109922,5127.168236420856,4.346559799974784,1.7079421222666753,0.7736718167520255,0.006960895439881016,0.33638025594149906,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.001,-0.0566945298703521,1.0501495440185815,5296.827353746472,4.157426499994472,1.6104094115199876,0.7510465284859746,0.003463576368148693,0.360313315926893,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.01,0.10235009074835177,1.0747867785079446,5020.376397425853,7.129290999961086,1.6331030794010797,0.7458421472239243,0.005456944753309946,0.38110403397027603,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.01,-0.016021612185607735,1.0870783111051914,5067.157314240882,6.8382793999044225,1.6385409567384772,0.7492199891702388,0.0056039518416102115,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.01,-0.016391571331913043,1.0374716131824957,5127.2031427411475,4.864396299934015,1.707941124956543,0.7736715688560185,0.0069605105847436914,0.33638025594149906,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.01,-0.05820805251276495,1.0505522417670672,5296.848038505047,4.508473900030367,1.6103972889722509,0.7510494123734942,0.0034648211189276064,0.3577023498694517,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.1,0.10254108353750992,1.074694937010673,5020.70321535201,7.019039400038309,1.6330966362601984,0.7458466367459803,0.00571743206396552,0.38163481953290873,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.1,-0.015406912960332848,1.0869173973364044,5067.187480077497,7.18969869997818,1.6385425666828055,0.7492190194055798,0.005522679464862823,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.1,-0.01821356813581745,1.0379617412678206,5127.342701898936,4.74856799992267,1.7079360473341574,0.7736693485777141,0.0069590547577988646,0.33638025594149906,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.1,-0.058618441199970076,1.0506492588053706,5297.084748084056,4.9151767999865115,1.6103950828909661,0.751049598498772,0.003465656433118427,0.3577023498694517,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,1.0,0.10242071529722109,1.0747958407909226,5021.233763659645,7.140690000029281,1.633106971090223,0.7458526069758603,0.005538519639952065,0.38110403397027603,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,1.0,-0.014565001603812753,1.0866835618529367,5067.889465140066,6.491172599955462,1.6385447883259194,0.7492181771119208,0.005550428486632546,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,1.0,-0.023279833359773777,1.039340395685599,5128.558175447324,4.093377800076269,1.707919295246709,0.7736626137713486,0.006816478639556664,0.33638025594149906,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,1.0,-0.05812621908318378,1.050542582459072,5298.855002497824,3.9133374000666663,1.6104004045381048,0.7510480744114949,0.0034678633365484916,0.3577023498694517,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.001,0.10248406521431158,1.0747762174852311,7166.658933455052,6.204651499981992,1.6330868725689254,0.745846176801804,0.005794916306241087,0.3821656050955414,0.732484076433121,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.001,-0.011295308026296738,1.0857929082528648,7370.154946458998,6.001090500038117,1.638551819196144,0.749214561633785,0.005456544862106819,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.001,-0.010904732605092832,1.035988175744036,7549.0357784627095,4.258826599922031,1.7079533770922406,0.773678278151831,0.007059856371403521,0.33455210237659966,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.001,-0.07000996974846177,1.0540638861762022,7739.275357870277,4.066669299965724,1.6102964555239878,0.7510512406471327,0.004346539813848283,0.3577023498694517,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.01,0.10248620194367537,1.074776169855729,7166.664336981829,6.539270600071177,1.6330869152055862,0.7458462172777715,0.0057949170040231335,0.3821656050955414,0.732484076433121,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.01,-0.011404280872245967,1.0858199682118108,7370.203082813632,5.784243900096044,1.6385516144713455,0.7492147538006295,0.005442842035960718,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.01,-0.014369365955825652,1.036935484349588,7549.077736125227,4.154198099975474,1.707946092965857,0.7736745645617044,0.0069636693560455876,0.33455210237659966,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.01,-0.0713495194033006,1.0544064544424472,7739.2817267153305,3.964980300050229,1.610283661804938,0.7510506201218978,0.0043471995814615486,0.3577023498694517,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.1,0.10248807338392762,1.0747801169221516,7166.71801559923,6.150008699973114,1.6330873794320235,0.7458466332960239,0.005685692586605705,0.3821656050955414,0.732484076433121,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.1,-0.010679859456134028,1.0856234499097641,7370.017048880691,6.5699286999879405,1.6385529725695673,0.7492138951526922,0.005375032116205961,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.1,-0.014451262921397517,1.0369854980871034,7549.351311251731,4.57708369998727,1.7079457284415058,0.7736747979475298,0.00696343183649071,0.33455210237659966,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.1,-0.07149763173120671,1.0544532369288626,7739.467385213311,4.095690099988133,1.6102820270266722,0.7510523102654887,0.004347589377517382,0.3577023498694517,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,1.0,0.10175862067689524,1.0750413640536176,7167.293394454735,5.877207500045188,1.633103667119992,0.7458550656107364,0.005315313196155776,0.38163481953290873,0.732484076433121,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,1.0,-0.012282092666154423,1.0860543162082175,7370.807917392197,6.084163899999112,1.6385498886153917,0.7492169019946241,0.005333708541573599,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,1.0,-0.021099516400715928,1.0387781712365534,7550.369048128603,4.417898499988951,1.7079264993431706,0.7736684732250425,0.007099579679484349,0.33455210237659966,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,1.0,-0.06874888279571387,1.0537422531625116,7741.052452017312,3.861700000008568,1.61030969257053,0.7510494866515368,0.0043492458795461805,0.3577023498694517,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,730.5,0.001,0.10091090812361422,1.0752232374371695,8845.43811060518,6.155581200029701,1.6331010687590968,0.7458508544767408,0.005219156435987113,0.38163481953290873,0.7335456475583864,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,730.5,0.001,-0.009215644436963698,1.0852204935703968,9278.272076044037,5.4556645000120625,1.638555372330716,0.7492120033278803,0.00544353134519369,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,730.5,0.001,-0.013173268509646167,1.036613152935772,9642.621665875284,4.1664537999313325,1.7079486519670308,0.7736761241902043,0.006965704383069808,0.3327239488117002,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,730.5,0.001,-0.07809438986275773,1.056516350504451,9870.825959194464,4.09964160004165,1.6102075589933147,0.7510420561276002,0.004501293281171655,0.35509138381201044,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,730.5,0.01,0.10225702837538397,1.0748276309399485,8845.629079103936,5.976994900032878,1.6330728223633848,0.7458419839020491,0.005235179296415889,0.38163481953290873,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,730.5,0.01,-0.009231454544220996,1.0852230090160668,9278.275598050981,5.727636500028893,1.6385553587094752,0.7492120302918656,0.005443584462441606,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,730.5,0.01,-0.011827539263432158,1.0362585896249796,9642.563514757476,4.2704121000133455,1.7079514188963218,0.7736772921441234,0.0069664745783228265,0.3327239488117002,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,730.5,0.01,-0.0774124208293124,1.0562640883833436,9870.797828708539,4.07694930001162,1.6102166486450236,0.751040897564806,0.004352349860740345,0.35509138381201044,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,730.5,0.1,0.10210516869375963,1.0749824588614183,8845.531301354598,6.195408800034784,1.6330831516928876,0.7458402755623137,0.005138799602669501,0.38163481953290873,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,730.5,0.1,-0.010109085125176453,1.0854593503809515,9278.211629140493,5.5411029000533745,1.6385539253241224,0.7492136320696721,0.005456942626647494,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,730.5,0.1,-0.014071439049843067,1.0368619272299773,9642.724236622158,4.124175900011323,1.7079466104723517,0.7736751752008769,0.0069650724840832935,0.3327239488117002,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,730.5,0.1,-0.07673141181545846,1.0561292784379581,9871.146746022656,3.7001863999757916,1.6102208344760356,0.7510467311199794,0.004353584419965891,0.35509138381201044,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,730.5,1.0,0.10255365565374414,1.0747933121089224,8846.272292905569,5.84136300010141,1.6330707864202074,0.7458456929549097,0.005084926995428388,0.38163481953290873,0.732484076433121,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,730.5,1.0,-0.010071069357818327,1.0854476698454498,9278.593881376926,5.52492760005407,1.6385540065471682,0.7492135410367715,0.005456967309992206,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,730.5,1.0,-0.01897145356428144,1.0382269532435546,9643.87207103057,3.9679420000175014,1.7079329713633944,0.773670803570273,0.007241723723225211,0.3327239488117002,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,730.5,1.0,-0.07764891856105492,1.056373416425981,9872.464853760901,3.7645525000989437,1.6102162065871297,0.7510400798268273,0.004357412158992699,0.35509138381201044,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,913.125,0.001,0.10278430897121167,1.074749370522965,10155.140888544198,5.726588100078516,1.6330555463735001,0.7458403277258806,0.005276092772608439,0.38163481953290873,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,913.125,0.001,-0.008135953950481023,1.0849214932092592,10826.609021823437,5.562923000077717,1.6385569276125966,0.749210184435999,0.005389432226457954,0.3682572614107884,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,913.125,0.001,-0.010027469687801344,1.035758511332872,11399.32015197576,4.080816500005312,1.7079546681111553,0.7736781592503698,0.006641735290248343,0.3327239488117002,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
