fold,half_life_days,l2,alpha,beta,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,kelly_final_bankroll,kelly_pnl_pct,kelly_n_bets
fold1_val2024,365.25,0.001,0.1602726526372875,1.0532803814509966,4986.9026226453625,6.640548700001091,1.6315694379725418,0.7451494082702109,0.0057630228868861206,0.38057324840764334,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.001,-0.027976587498543384,1.091434662311779,5015.739365704801,6.852557200007141,1.6384863274269508,0.7492255107133517,0.006106049701187539,0.3682572614107884,0.7276970954356846,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.001,0.020755872178142464,1.0273417727916914,5093.691207735711,4.168434899998829,1.7079253186869738,0.7736791871928732,0.006100301326367589,0.33089579524680074,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.001,-0.017648107542970217,1.0404775706368494,5268.086128881587,4.223445900017396,1.610597553099543,0.7509887236777717,0.004405637013302619,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.01,0.16018938546919606,1.0533220552600395,4986.912530869221,6.414584800018929,1.6315738528407366,0.7451504123961582,0.005626087438127775,0.38057324840764334,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.01,-0.028924460604253428,1.09172589771004,5015.829622842047,6.352352899964899,1.6384811654894722,0.7492267174963382,0.00610474808845921,0.3682572614107884,0.7282157676348547,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.01,0.02048558576288194,1.0274066865632023,5093.706628436813,4.418816799996421,1.7079262140651799,0.7736792134752173,0.006100031782799619,0.33089579524680074,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.01,-0.017510426323593706,1.0404392430353306,5268.1099647086085,4.078497999929823,1.6105978564836323,0.7509880679082216,0.004553468026884796,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.1,0.15990122088478628,1.0535411034476747,4987.044711835824,6.1163548999466,1.6315978854983164,0.7451630948826717,0.005540540830294605,0.38057324840764334,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.1,-0.02896752475647119,1.0917448971198565,5015.985961414851,6.179563899990171,1.63848091671673,0.7492264126105334,0.006104830434522322,0.3682572614107884,0.7282157676348547,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.1,0.01946513556382253,1.0276873028992752,5093.851849790358,4.054369700024836,1.7079298924703623,0.7736786878536166,0.006099524952579987,0.33089579524680074,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.1,-0.01635939732839499,1.0401051338069618,5268.358644364818,3.905856200028211,1.610600440062863,0.7509811993187341,0.00514479448801096,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,1.0,0.1607354118567073,1.0532485695358174,4987.5880429394665,6.202677899971604,1.6315732366675655,0.7451608779733864,0.0056660817165381655,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,1.0,-0.029697363397953345,1.0919633109161415,5016.718894974815,5.820058399927802,1.6384770790053966,0.7492279029963825,0.006090572179396179,0.3682572614107884,0.7282157676348547,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,1.0,0.01290872959925907,1.0294722487164414,5095.069734561972,3.905165100004524,1.7079487246468668,0.7736836074647168,0.0058145842481442745,0.33089579524680074,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,1.0,-0.015989281643563193,1.0400056160328197,5270.05352939103,3.75596450001467,1.6106014908728847,0.7509773258271399,0.005441080835804338,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.001,0.15855584944212064,1.053839554662876,7120.839938470349,6.066399900009856,1.6316075336852671,0.745183245916611,0.005607561104659113,0.38057324840764334,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.001,-0.027743408208648755,1.0913178601479447,7303.753275544771,5.968635499943048,1.6384887774455261,0.7492295558798467,0.006255752328980182,0.3682572614107884,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.001,0.02134493830503551,1.0271470280681292,7498.989640339807,4.299871600000188,1.7079230027850825,0.7736734514273782,0.006098112658494809,0.33089579524680074,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.001,-0.025465836273410453,1.0429052496323832,7694.18943938488,3.8651953999651596,1.6105744592473379,0.7510374332192156,0.0039105445223849705,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
