fold,half_life_days,l2,alpha,beta,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,kelly_final_bankroll,kelly_pnl_pct,kelly_n_bets
fold1_val2024,365.25,0.001,0.0334730861359713,1.085073221099779,4789.75776637147,9.535206400003517,1.6338974684236458,0.7461577128534963,0.006221504717889825,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.001,-0.06155086051699621,1.1144555913516967,4828.71886938995,10.496068499996909,1.6381172845818155,0.7492665228665724,0.005501626567890489,0.36877593360995853,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.001,-0.06016270526920268,1.0619423916762152,4915.2395685655065,6.225270700000692,1.707574970089798,0.7738446784913856,0.008190963897279923,0.340036563071298,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.001,0.010900633426656061,1.0305988665014123,5094.2156190851065,7.182437099996605,1.610609084462032,0.7507373460711084,0.004613514902681719,0.3629242819843342,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.01,0.033473451176967275,1.0850731541493197,4789.761202784078,9.850123299998813,1.633897479411974,0.7461577181064915,0.006221505838050137,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.01,-0.06163007298987029,1.1144394660057013,4828.702065636864,10.233949699999357,1.6381180755261062,0.7492672784090271,0.005528883781772123,0.36877593360995853,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.01,-0.05980770496033091,1.0618121972153423,4915.238554176463,6.600334700000531,1.7075791606068085,0.7738449340861047,0.008050849880930942,0.340036563071298,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.01,0.012303546181921487,1.0300070597907296,5094.171235683784,7.275156399999105,1.6106066047632541,0.7507210974008777,0.004613367742598752,0.36553524804177545,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.1,0.033457027193604646,1.0850833782502591,4789.79556728185,9.113756499995361,1.6338975974025625,0.7461577643249719,0.00622149921262855,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.1,-0.06142377360056209,1.1143462169701583,4828.763701958091,10.330604199996742,1.6381208154338909,0.7492672664263714,0.005501456864033211,0.36877593360995853,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.1,-0.061816301292969646,1.0625951701317842,4915.549077823781,6.161858799998299,1.707556420615034,0.7738400029178835,0.00818973922685536,0.3382084095063985,0.7020109689213894,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.1,0.011506413801915638,1.0303524025301458,5094.396250437868,8.09071579999727,1.610608078919335,0.7507303822942609,0.004613747074317014,0.36553524804177545,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,1.0,0.033596000649193165,1.0850352920221993,4789.650838035449,10.846426000003703,1.6338968441386978,0.7461547845380279,0.006195702497081242,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,1.0,-0.06119137089952022,1.1142033718171829,4829.2978584338125,10.22414790000039,1.6381250527577067,0.7492668264560721,0.00550098690262507,0.36877593360995853,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,1.0,-0.08578579414652635,1.0745105911035049,4918.291609040588,4.6487641999992775,1.7071826849370488,0.7738644390978566,0.00988701709193606,0.340036563071298,0.7093235831809872,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,1.0,0.010795208113491859,1.0306553124582696,5096.030342765355,6.966256100000464,1.610609387747459,0.7507396308974977,0.004613501089101956,0.3629242819843342,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.001,0.03786492198310043,1.0830210228408246,6844.120121773577,9.44353940000292,1.6338698416729078,0.746150612377571,0.00628326040927759,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.001,-0.06317499215703018,1.1149576309949967,7031.0539883499805,8.840463900000032,1.638105895139253,0.7492646989917422,0.005596712194575582,0.3682572614107884,0.7276970954356846,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.001,-0.06678855629466705,1.0652179518146336,7235.184311042651,5.328246699995361,1.7074899526779805,0.7738616488936156,0.008496211688705515,0.3382084095063985,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.001,0.014492578289299868,1.028955180103997,7434.963048171372,6.490974699998333,1.6106021581858194,0.7506964468362817,0.004244658990239675,0.36553524804177545,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.01,0.0378681338324049,1.0830200655954692,6844.1233582211935,8.465045400000236,1.633869805071614,0.746150595158831,0.006283299186782138,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.01,-0.06314831794724533,1.1149348616456898,7031.057172763591,8.54956680000032,1.638106406385466,0.7492647201786858,0.005596653641550486,0.3682572614107884,0.7276970954356846,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.01,-0.06661561282424878,1.065169163902431,7235.193832224393,5.718741000004229,1.7074912948326664,0.7738622431260499,0.008496257076958317,0.3382084095063985,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.01,0.014473909299582987,1.0289749370722179,7434.96554749834,5.5441915999981575,1.6106022215742435,0.7506966438929917,0.004244641762164391,0.36553524804177545,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.1,0.03790326922961092,1.083001262369473,6844.155299534864,7.829036900002393,1.6338695364615332,0.7461504494404372,0.006283339707568598,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.1,-0.06202794470388471,1.1143659299293862,7031.5616312931625,7.802434799996263,1.6381207395326642,0.7492626712464845,0.0054203354703223385,0.36877593360995853,0.7276970954356846,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.1,-0.06616144730760412,1.0649140560953156,7235.346805456566,6.3264636999956565,1.7074988521032448,0.7738614588132308,0.008543472425012444,0.3382084095063985,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.1,0.014344200557050412,1.0290293421380288,7435.1554105010155,5.548475399999006,1.6106025168390863,0.7506980599808245,0.004244718611484264,0.36553524804177545,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,1.0,0.03727544908868142,1.0832990328106276,6844.4684612877945,7.658151100004034,1.6338740226866566,0.7461523030112699,0.006159715377549683,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,1.0,-0.063533788301373,1.1153031345951523,7031.795369581663,7.8632731000034255,1.6380964016308326,0.7492588894500841,0.005705745336163587,0.3682572614107884,0.7282157676348547,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,1.0,-0.07425502433666856,1.0687452102459207,7236.645717637589,5.795913899994048,1.7073836750031832,0.7738669688094179,0.008688760263247632,0.340036563071298,0.7093235831809872,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,1.0,0.014536268456362567,1.0289252461269034,7436.710024775325,5.081318399999873,1.610602117581477,0.7506969280366365,0.004243806565330046,0.36553524804177545,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,730.5,0.001,0.03528365388077403,1.0843670860408743,8450.4278772788,8.190598400004092,1.6338891694935544,0.7461532976550524,0.006128774954283854,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,730.5,0.001,-0.06389298907827726,1.1151571313931992,8856.437148991212,7.679161000000022,1.6380996839564426,0.7492584597957794,0.0057869149308351,0.3677385892116183,0.7282157676348547,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,730.5,0.001,-0.07295825781937781,1.0683266010226813,9240.168801734735,7.113768199997139,1.707394841847816,0.7738648393118033,0.008783614339494275,0.340036563071298,0.7093235831809872,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,730.5,0.001,0.0158522569811951,1.0282860709271966,9476.818472842384,5.711511400004383,1.610598907970878,0.7506810258312538,0.004245568254429515,0.36553524804177545,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,730.5,0.01,0.03494851382347998,1.0845702392000887,8450.464071138837,8.432885099995474,1.6338917833282787,0.7461537331340395,0.006319564918017934,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,730.5,0.01,-0.06389815486782818,1.1151577747102561,8856.44041834664,7.47756279999885,1.6380996482122971,0.7492584570357872,0.005786854663333542,0.3677385892116183,0.7282157676348547,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
