fold,half_life_days,l2,fit_seconds,alpha,beta,gamma,fund_loss,n_features,ALL_n_entries,ALL_n_races,ALL_itm_base_rate,ALL_log_loss,ALL_brier,ALL_ece,ALL_corr_logit_pf_pm,ALL_log_loss_market,ALL_log_loss_fund,ALL_log_loss_vs_market_pct,ALL_itm_hit_top3,ALL_itm_precision_top3,ALL_itm_hit_top4,ALL_itm_precision_top4,ALL_itm_full_sweep_top3,ALL_longshot_n,ALL_longshot_hits,ALL_longshot_precision,ALL_longshot_base_itm_rate,GP_n_entries,GP_n_races,GP_itm_base_rate,GP_log_loss,GP_brier,GP_ece,GP_corr_logit_pf_pm,GP_log_loss_market,GP_log_loss_fund,GP_log_loss_vs_market_pct,GP_itm_hit_top3,GP_itm_precision_top3,GP_itm_hit_top4,GP_itm_precision_top4,GP_itm_full_sweep_top3,GP_longshot_n,GP_longshot_hits,GP_longshot_precision,GP_longshot_base_itm_rate,CT_n_entries,CT_n_races,CT_itm_base_rate,CT_log_loss,CT_brier,CT_ece,CT_corr_logit_pf_pm,CT_log_loss_market,CT_log_loss_fund,CT_log_loss_vs_market_pct,CT_itm_hit_top3,CT_itm_precision_top3,CT_itm_hit_top4,CT_itm_precision_top4,CT_itm_full_sweep_top3,CT_longshot_n,CT_longshot_hits,CT_longshot_precision,CT_longshot_base_itm_rate,MNR_n_entries,MNR_n_races,MNR_itm_base_rate,MNR_log_loss,MNR_brier,MNR_ece,MNR_corr_logit_pf_pm,MNR_log_loss_market,MNR_log_loss_fund,MNR_log_loss_vs_market_pct,MNR_itm_hit_top3,MNR_itm_precision_top3,MNR_itm_hit_top4,MNR_itm_precision_top4,MNR_itm_full_sweep_top3,MNR_longshot_n,MNR_longshot_hits,MNR_longshot_precision,MNR_longshot_base_itm_rate,CT+MNR_n_entries,CT+MNR_n_races,CT+MNR_itm_base_rate,CT+MNR_log_loss,CT+MNR_brier,CT+MNR_ece,CT+MNR_corr_logit_pf_pm,CT+MNR_log_loss_market,CT+MNR_log_loss_fund,CT+MNR_log_loss_vs_market_pct,CT+MNR_itm_hit_top3,CT+MNR_itm_precision_top3,CT+MNR_itm_hit_top4,CT+MNR_itm_precision_top4,CT+MNR_itm_full_sweep_top3,CT+MNR_longshot_n,CT+MNR_longshot_hits,CT+MNR_longshot_precision,CT+MNR_longshot_base_itm_rate
fold_val2023,365.25,0.001,2.3869708999991417,0.09686795684899367,0.8036594713542556,-0.0393756470106245,14277.376609519566,203,31345,4145,0.39575689902695804,0.551358846341051,0.18674904163556183,0.010707562245927645,0.6036245758477436,0.5545806529413022,0.6126903133090189,0.5809446440592253,0.9778045838359469,0.6245275432247688,0.9939686369119421,0.5702653799758746,0.16960193003618818,1,0,0.0,0.39575689902695804,14230,1846,0.38805340829234014,0.5534093245039126,0.18751058717905222,0.009737986210246553,0.599880434960371,0.5549180832311212,0.6112263430735076,0.2718885494636672,0.9750812567713976,0.6146623329721922,0.991332611050921,0.5594528710725893,0.15926327193932827,0,0,,0.38805340829234014,10321,1334,0.38697800600716986,0.5456343958854395,0.1843462122298311,0.01655452710973643,0.6888583563461623,0.5501220464772252,0.606979781685614,0.8157554529077526,0.97976011994003,0.6239380309845077,0.9947526236881559,0.5712143928035982,0.1634182908545727,0,0,,0.38697800600716986,6794,965,0.42522814247865764,0.5557603401436486,0.18880420931479025,0.015939307732231234,0.516403165753257,0.5606471298755988,0.6244316576329058,0.8716337731069002,0.9803108808290155,0.6442141623488774,0.9979274611398964,0.5896373056994819,0.19792746113989637,1,0,0.0,0.42522814247865764,17115,2299,0.40216184633362545,0.5496540082307666,0.18611586646268022,0.016310308561634183,0.6059862849513064,0.5543001017859339,0.61390750854427,0.8381909980167388,0.9799913005654632,0.6324488908220965,0.9960852544584602,0.5789473684210527,0.177903436276642,1,0,0.0,0.40216184633362545
fold_val2024,365.25,0.001,4.292966799999704,0.13655377829041176,0.7658353240072909,-0.03464475835372515,20960.58624095105,204,31169,4164,0.40026949854021626,0.5507817730517753,0.18623337986461413,0.011755169477798557,0.6072790822764298,0.5554064551260349,0.6093419652688807,0.8326662449773183,0.9781460134486071,0.6286423310918988,0.9961575408261287,0.5747878642331092,0.17459173871277617,28,6,0.21428571428571427,0.40026949854021626,14654,1895,0.38733451617305853,0.5504450395350792,0.1857923960516065,0.013869395049024258,0.6059248395761969,0.5537638228747211,0.6028013295284398,0.5993138595463623,0.9720316622691293,0.6163588390501319,0.9963060686015831,0.5634124890061565,0.16517150395778363,12,5,0.4166666666666667,0.38733451617305853,9387,1265,0.40396292745286033,0.5515443285391248,0.18668753865139742,0.01633322526646403,0.6560940587610145,0.5573767911471529,0.6138111913447295,1.0464128935157309,0.9857707509881423,0.6310935441370223,0.9968379446640316,0.5760869565217391,0.16996047430830039,10,1,0.1,0.40396292745286033,7128,1004,0.4219977553310887,0.5504698180284753,0.18654187990169033,0.01783622755601764,0.5657288800178389,0.5561886645509106,0.6169028310049124,1.0282206177382276,0.9800796812749004,0.648738379814077,0.9950199203187251,0.5946215139442231,0.19820717131474103,6,0,0.0,0.4219977553310887,16515,2269,0.41174689676052073,0.5510805616048282,0.18662467122373091,0.014313148995579915,0.6113265938145637,0.5568639866434887,0.6151455666095059,1.0385704907081905,0.9832525341560159,0.6389011311884824,0.996033494931688,0.5842882327016307,0.18245923314235346,16,1,0.0625,0.41174689676052073
fold_val2025,365.25,0.001,5.890898700003163,0.05820840936965894,0.7908758918541146,-0.050150965317129086,24299.82905407448,205,30848,4162,0.40414289419087135,0.5534590866846465,0.18769929016033873,0.011919681820509764,0.6522595708947138,0.557812515087653,0.6167949612701643,0.7804465273286975,0.9776549735703989,0.6263014576325484,0.996155694377703,0.5754444978375781,0.16626621816434406,0,0,,0.40414289419087135,14703,1936,0.3942732775624022,0.5594057627510024,0.19007034443629459,0.01247210185110705,0.6786986528549535,0.5630574202395494,0.6151105099330973,0.6485408694185106,0.9731404958677686,0.6100206611570248,0.9948347107438017,0.5671487603305785,0.1518595041322314,0,0,,0.3942732775624022,9637,1285,0.3993981529521635,0.5469777060233996,0.18526270399674197,0.01965158462048088,0.6782475946930596,0.5527507755600319,0.6110845002159125,1.0444254068722478,0.982101167315175,0.6274967574578469,0.9968871595330739,0.5688715953307393,0.16108949416342414,0,0,,0.3993981529521635,6508,941,0.43346650276582666,0.5496218228906707,0.18595063770785006,0.010319449526088707,0.5804290633335536,0.5534585113045166,0.629056516462039,0.6932206001860376,0.9808714133900106,0.6581650726177825,0.997874601487779,0.6014877789585548,0.20297555791710944,0,0,,0.43346650276582666,16145,2226,0.4131310003096934,0.5480435414258276,0.18554000796650916,0.013096492294950308,0.6342990855057073,0.553036061668741,0.6183289648631588,0.902747684816229,0.981581311769991,0.6404612159329139,0.9973045822102425,0.582659478885894,0.17879604672057503,0,0,,0.4131310003096934
fold_val2026,365.25,0.001,5.480160400002205,0.0729263801713533,0.737061984535335,-0.0586694253804629,25901.71521245092,207,15024,2072,0.41300585729499467,0.5702372211606491,0.1939301016544812,0.01495553024065551,0.5782379306064286,0.577345481898655,0.6279815691874706,1.2311970840457036,0.98503861003861,0.6258043758043758,0.9956563706563707,0.574404761904762,0.16312741312741313,23,5,0.21739130434782608,0.41300585729499467,6990,936,0.40171673819742487,0.5759954625861501,0.19578172600886065,0.014731911387829115,0.5336498317030361,0.5819071153821953,0.631140686492827,1.0159100378352408,0.9861111111111112,0.6118233618233619,0.9935897435897436,0.5626780626780626,0.1485042735042735,6,1,0.16666666666666666,0.40171673819742487,5162,725,0.42037969779155365,0.5664603036493784,0.1925762938869419,0.014532549241043748,0.6849871029476813,0.5752742823196058,0.6216245203631802,1.5321350077893074,0.9848275862068966,0.64,0.9972413793103448,0.5793103448275863,0.17793103448275863,13,3,0.23076923076923078,0.42037969779155365,2872,411,0.4272284122562674,0.5630110166442591,0.19185680829059734,0.029568649865412546,0.5436207972767695,0.5699658559157534,0.6317186360630088,1.2202203341321398,0.9829683698296837,0.6326034063260341,0.9975669099756691,0.5924574209245742,0.170316301703163,4,1,0.25,0.4272284122562674,8034,1136,0.42282798108040826,0.5652272500921588,0.19231909166728772,0.016905762690522595,0.6197073528241165,0.5733766222957242,0.6252329719800469,1.4212948150791997,0.9841549295774648,0.6373239436619719,0.9973591549295775,0.5840669014084507,0.17517605633802816,17,4,0.23529411764705882,0.42282798108040826
fold_val2023,365.25,0.01,2.5179613000000245,0.09733183687925182,0.8035036681135157,-0.03950698211945956,14277.061079470704,203,31345,4145,0.39575689902695804,0.5513567677907023,0.18674806663991647,0.010631830100068554,0.6036038273841219,0.5545806529413022,0.6126300882383989,0.5813194408246198,0.9778045838359469,0.6246079613992762,0.9939686369119421,0.5700241254523523,0.16960193003618818,1,0,0.0,0.39575689902695804,14230,1846,0.38805340829234014,0.5534070406419362,0.18750934278310072,0.009342664421787002,0.6001597465460403,0.5549180832311212,0.6111273684009384,0.272300116872503,0.9750812567713976,0.6146623329721922,0.991332611050921,0.55931744312026,0.15926327193932827,0,0,,0.38805340829234014,10321,1334,0.38697800600716986,0.5456297360054819,0.1843442914461404,0.01640281656631853,0.6889785543616082,0.5501220464772252,0.6068807778978281,0.8166025158435883,0.97976011994003,0.6239380309845077,0.9947526236881559,0.5706521739130435,0.1634182908545727,0,0,,0.38697800600716986,6794,965,0.42522814247865764,0.5557626130044496,0.18880523535605584,0.016128095085590634,0.5156946896347968,0.5606471298755988,0.6245115035036468,0.8712283735819769,0.9803108808290155,0.644559585492228,0.9979274611398964,0.5896373056994819,0.19792746113989637,1,0,0.0,0.42522814247865764,17115,2299,0.40216184633362545,0.5496521003835705,0.1861151154557206,0.016293762652204294,0.605728159216314,0.5543001017859339,0.6138795012262496,0.8385351883190619,0.9799913005654632,0.6325938813977091,0.9960852544584602,0.5786211396259243,0.177903436276642,1,0,0.0,0.40216184633362545
fold_val2024,365.25,0.01,3.7436557999972138,0.1359649249306999,0.7659942792200614,-0.03452476530787139,20961.34673107592,204,31169,4164,0.40026949854021626,0.550785596677826,0.1862352415454583,0.011651660826072408,0.607082730066512,0.5554064551260349,0.609338078056049,0.831977807524822,0.9781460134486071,0.6287223823246878,0.9961575408261287,0.5747878642331092,0.17435158501440923,29,7,0.2413793103448276,0.40026949854021626,14654,1895,0.38733451617305853,0.5504465689785345,0.18579319384818746,0.013863477303462539,0.6056588411801103,0.5537638228747211,0.6027514274962726,0.5990376689769986,0.9720316622691293,0.6167106420404572,0.9963060686015831,0.5636763412489005,0.16464379947229552,12,5,0.4166666666666667,0.38733451617305853,9387,1265,0.40396292745286033,0.551549806625841,0.18669043641248237,0.016250171801751617,0.6558036921496078,0.5573767911471529,0.6138771443825436,1.045430059855782,0.9857707509881423,0.6310935441370223,0.9968379446640316,0.5756916996047431,0.16996047430830039,11,2,0.18181818181818182,0.40396292745286033,7128,1004,0.4219977553310887,0.5504761793270123,0.18654456432029726,0.017720298544667907,0.5659417293136417,0.5561886645509106,0.6169015687541635,1.027076887392307,0.9800796812749004,0.6484063745019919,0.9950199203187251,0.5946215139442231,0.19820717131474103,6,0,0.0,0.4219977553310887,16515,2269,0.41174689676052073,0.5510864208925046,0.18662747690457468,0.014286738497069558,0.6112562406966325,0.5568639866434887,0.615182509015962,1.037518297027702,0.9832525341560159,0.6387542235933598,0.996033494931688,0.5840678713089467,0.18245923314235346,17,2,0.11764705882352941,0.41174689676052073
fold_val2025,365.25,0.01,6.721683699994173,0.05602344082689149,0.7916570816347126,-0.0505786779695684,24297.331159143723,205,30848,4162,0.40414289419087135,0.553467108029353,0.18770158749423926,0.01170901033244753,0.6527346687747794,0.557812515087653,0.6168397953198009,0.779008527196127,0.9776549735703989,0.6261412782316195,0.996155694377703,0.5754444978375781,0.1660259490629505,0,0,,0.40414289419087135,14703,1936,0.3942732775624022,0.559409816657228,0.19007140786530205,0.01248557753407912,0.679280174862421,0.5630574202395494,0.6150718711579555,0.6478208884574439,0.9731404958677686,0.609676308539945,0.9948347107438017,0.5671487603305785,0.15134297520661158,0,0,,0.3942732775624022,9637,1285,0.3993981529521635,0.5469898275572579,0.1852657755256797,0.01988697909794667,0.6786811514200595,0.5527507755600319,0.6111708134399145,1.0422324594546633,0.982101167315175,0.6274967574578469,0.9968871595330739,0.5686770428015564,0.16108949416342414,0,0,,0.3993981529521635,6508,941,0.43346650276582666,0.549632736018587,0.18595457628115872,0.010095611256493029,0.5808678627529104,0.5534585113045166,0.6292285118729787,0.6912487942252779,0.9808714133900106,0.6581650726177825,0.997874601487779,0.6017534537725824,0.20297555791710944,0,0,,0.43346650276582666,16145,2226,0.4131310003096934,0.5480551758549557,0.18554342899837448,0.012973943585038238,0.6347159346274123,0.553036061668741,0.6184498163140169,0.9006439469346524,0.981581311769991,0.6404612159329139,0.9973045822102425,0.582659478885894,0.17879604672057503,0,0,,0.4131310003096934
fold_val2026,365.25,0.01,5.853989200004435,0.07242710948590225,0.7372723168628141,-0.05898670830675602,25901.30546121942,207,15024,2072,0.41300585729499467,0.5702407525647093,0.19393142579658554,0.015069689475886654,0.5789934805571967,0.577345481898655,0.6279859163155549,1.2305854218484762,0.98503861003861,0.6256435006435005,0.9956563706563707,0.574404761904762,0.16312741312741313,23,5,0.21739130434782608,0.41300585729499467,6990,936,0.40171673819742487,0.5760003349274215,0.19578392929676092,0.014668130426998197,0.534816812036365,0.5819071153821953,0.6312009143475227,1.0150727321652038,0.9861111111111112,0.6118233618233619,0.9935897435897436,0.5626780626780626,0.1485042735042735,6,1,0.16666666666666666,0.40171673819742487,5162,725,0.42037969779155365,0.5664700085411507,0.19257992786800962,0.014498400332110204,0.6855922710579387,0.5752742823196058,0.6216302453788605,1.530448005246244,0.9848275862068966,0.6395402298850574,0.9972413793103448,0.5793103448275863,0.17793103448275863,13,3,0.23076923076923078,0.42037969779155365,2872,411,0.4272284122562674,0.5630001884749636,0.19185184113122442,0.029155199948537526,0.5435647111167727,0.5699658559157534,0.6315845016678391,1.222120126757111,0.9829683698296837,0.6326034063260341,0.9975669099756691,0.5924574209245742,0.170316301703163,4,1,0.25,0.4272284122562674,8034,1136,0.42282798108040826,0.5652296148107437,0.19231965090658978,0.017181407520898227,0.6200149131912142,0.5733766222957242,0.6251886999546566,1.4208823953025653,0.9841549295774648,0.637030516431925,0.9973591549295775,0.5840669014084507,0.17517605633802816,17,4,0.23529411764705882,0.42282798108040826
fold_val2023,365.25,0.1,2.442817899995134,0.09763968625599101,0.8034106512701134,-0.03946195930679667,14277.390715138543,203,31345,4145,0.39575689902695804,0.5513548015512059,0.18674760805611654,0.010795297825615766,0.6038278569605245,0.5545806529413022,0.612671483300809,0.5816739860987858,0.9775633293124246,0.6246079613992762,0.9939686369119421,0.5702653799758746,0.16960193003618818,1,0,0.0,0.39575689902695804,14230,1846,0.38805340829234014,0.5534064525613165,0.18750954364906566,0.00966294309105489,0.6000693995268835,0.5549180832311212,0.6112116116489699,0.27240609298637053,0.9745395449620802,0.6144817623690864,0.991332611050921,0.5594528710725893,0.15926327193932827,0,0,,0.38805340829234014,10321,1334,0.38697800600716986,0.5456279522660227,0.1843441041601183,0.016559077003409466,0.6889898049087442,0.5501220464772252,0.6069080438576263,0.816926760158222,0.97976011994003,0.6241879060469765,0.9947526236881559,0.5712143928035982,0.1634182908545727,0,0,,0.38697800600716986,6794,965,0.42522814247865764,0.555757482975772,0.1888029834201042,0.016316895094971553,0.5167031700628022,0.5606471298755988,0.6244846172570591,0.8721433927454165,0.9803108808290155,0.644559585492228,0.9979274611398964,0.5896373056994819,0.19792746113989637,1,0,0.0,0.42522814247865764,17115,2299,0.40216184633362545,0.5496489882953559,0.18611410858269173,0.0164629400541879,0.6062066314903625,0.5543001017859339,0.6138852708325457,0.8390966329597083,0.9799913005654632,0.6327388719733217,0.9960852544584602,0.5789473684210527,0.177903436276642,1,0,0.0,0.40216184633362545
fold_val2024,365.25,0.1,3.908993700002611,0.13545590488790382,0.7662430946764609,-0.035486911312101355,20961.501053989014,204,31169,4164,0.40026949854021626,0.5507913279483794,0.1862369320889838,0.01188185908082075,0.6072642512308948,0.5554064551260349,0.6093972181131481,0.8309459018815818,0.9781460134486071,0.6286423310918988,0.9961575408261287,0.574847902657701,0.17435158501440923,29,7,0.2413793103448276,0.40026949854021626,14654,1895,0.38733451617305853,0.5504512219570493,0.1857942518370166,0.013947298592914723,0.6059455793719785,0.5537638228747211,0.6028711948590458,0.5981974229510549,0.9720316622691293,0.6165347405452946,0.9963060686015831,0.5636763412489005,0.16464379947229552,12,5,0.4166666666666667,0.38733451617305853,9387,1265,0.40396292745286033,0.5515533749235836,0.18669171680995156,0.016348512256618587,0.6559287971472386,0.5573767911471529,0.6138775781005934,1.0447898649644098,0.9857707509881423,0.6310935441370223,0.9968379446640316,0.5758893280632411,0.16996047430830039,11,2,0.18181818181818182,0.40396292745286033,7128,1004,0.4219977553310887,0.5504869758497132,0.18654809542184053,0.018105779038726535,0.5660414737522341,0.5561886645509106,0.6169133805098176,1.0251357254469122,0.9800796812749004,0.6484063745019919,0.9950199203187251,0.5946215139442231,0.19820717131474103,6,0,0.0,0.4219977553310887,16515,2269,0.41174689676052073,0.5510931089472865,0.18662972872309383,0.014486631006179026,0.611389113906715,0.5568639866434887,0.6151878535818499,1.0363172757833239,0.9832525341560159,0.6387542235933598,0.996033494931688,0.5841780520052887,0.18245923314235346,17,2,0.11764705882352941,0.41174689676052073
