half_life_days,half_life_years,l2,log_loss,log_loss_vs_market_pct,corr,alpha,beta
365.25,1.0,0.001,0.5518511793638925,0.9831708232824167,0.5482604938620191,0.08632024961619018,0.7702822859165867
365.25,1.0,0.01,0.5518511907366385,0.9831687827082786,0.5482610467921647,0.08631906161933497,0.7702826769316453
365.25,1.0,0.1,0.5518512416802241,0.9831596420694435,0.5482648284210108,0.08631570826532127,0.7702845509870504
730.5,2.0,0.01,0.5518517752668752,0.9830639023840768,0.5485476191059431,0.08613194494878243,0.7703411287479935
730.5,2.0,0.001,0.5518520077415241,0.9830221902278736,0.5485488866379209,0.08607492262505984,0.7703487140420192
365.25,1.0,1.0,0.5518520681150926,0.9830113575984614,0.5483292169630309,0.08602936254026324,0.770351966657943
730.5,2.0,0.1,0.5518521097781979,0.9830038821254813,0.5485668282168985,0.08609274307591419,0.7703526895770723
547.875,1.5,1.0,0.5518522291594179,0.982982461948608,0.5485239130582048,0.08615352320672427,0.7703430503709232
547.875,1.5,0.001,0.5518524774948527,0.9829379039441264,0.5485181900722129,0.08603195415346573,0.7703562658540054
547.875,1.5,0.1,0.5518525025926883,0.9829334007226203,0.5485190153084151,0.08604200129867609,0.7703564844443319
547.875,1.5,0.01,0.5518525108035998,0.9829319274659662,0.5485200502285522,0.086027374154861,0.7703574104300904
730.5,2.0,1.0,0.5518531849914738,0.9828109601688807,0.5486225577798346,0.08602052972165924,0.7703816916206673
913.125,2.5,0.01,0.5518539653065171,0.9826709508253648,0.5486983359852851,0.08565614507152425,0.7704391210548062
913.125,2.5,0.001,0.5518539670904817,0.9826706307344981,0.5486983901560597,0.08565550196511848,0.770439210015472
913.125,2.5,1.0,0.5518547347804562,0.9825328866652523,0.5487206808043354,0.08566932267596206,0.7704644721216724
913.125,2.5,0.1,0.5518548681848627,0.9825089503544752,0.5487454926879913,0.08553947650272513,0.7704717164197337
