race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
1,1,7,Kelsey Hill Girl,0.7228,0.2941,0.5368421052631579,,,"{'pos': [('jockey win% on surface', 0.33554035884200045), ('trainer win% on surface', 0.23165635039687235), ('trainer win% first-time starters', 0.21120020345017076)], 'neg': [('last race was maiden', -0.15473535108077968), ('no data: won last race', -0.1292871816661172), ('no data: finish placement (last race)', -0.1292871816661172)]}",3.0
1,2,6,Whinny Miss Lynny,0.6923,0.2634,0.9368421052631579,,,"{'pos': [('finish placement (last race)', 0.35528881972454407), ('career ITM%', 0.17157440841846458), ('avg finish placement (last 3)', 0.10409277878953227)], 'neg': [('speed figure last race', -0.08144742934039674), ('last race field size', -0.07940590180438296), ('weight (lbs)', -0.07917165919394906)]}",1.0
1,3,2,Beverly Crusher,0.3863,0.1098,0.9157894736842105,,,"{'pos': [('finish placement (last race)', 0.2171209448858414), ('last race was maiden', 0.06189414043231187), ('no data: closeness to winner (last race)', 0.0567443222349292)], 'neg': [('last race field size', -0.07940590180438296), ('weight (lbs)', -0.07917165919394906), ('speed figure last race', -0.07259445061948054)]}",7.0
1,4,3,Whiskey Brew,0.3462,0.0973,0.5052631578947369,,,"{'pos': [('career ITM%', 0.11059093551771233), ('pace type last race    MISSING = ', 0.1017504808181387), ('last race field size', 0.07940590180438295)], 'neg': [('last race was maiden', -0.15473535108077968), ('no data: finish placement (last race)', -0.1292871816661172), ('no data: won last race', -0.1292871816661172)]}",2.0
1,5,5,Incendiary,0.3448,0.1029,0.8842105263157894,,,"{'pos': [('trainer home = GP', 0.20076030581154858), ('purse change vs last', 0.12483319956517397), ('shipping in today', 0.10938235223100601)], 'neg': [('finish placement (last race)', -0.47371842930767194), ('avg finish placement (last 3)', -0.12203980982043829), ('closer last race', -0.10770416156188846)]}",5.0
1,6,1,Justice You Say,0.2983,0.0785,0.9263157894736842,,,"{'pos': [('weight (lbs)', 0.10556220944409882), ('post position', 0.07640087581281035), ('speed figure last race', 0.06551206485297338)], 'neg': [('jockey win% on surface', -0.18503705930491907), ('career ITM%', -0.0955503897080304), ('trainer win% (1yr)', -0.06922567009443796)]}",4.0
1,7,4,Super Wicked,0.20929999999999999,0.054,0.8947368421052632,,,"{'pos': [('weight (lbs)', 0.10556220944409882), ('career win%', 0.07812368041494962), ('last race was maiden', 0.06189414043231187)], 'neg': [('career ITM%', -0.20721028445850995), ('finish placement (last race)', -0.19738267963026662), ('jockey win% on surface', -0.15225550479683708)]}",6.0
2,1,3,Yankee Doodle Kid,0.6047,0.2224,0.9368421052631579,,,"{'pos': [('finish placement (last race)', 0.1776444098622721), ('career win% on surface', 0.15973058931387113), ('jockey win% on surface', 0.11717335167100631)], 'neg': [('career win%', -0.24206013745961588), ('won last race', -0.12629830153254012), ('2nd-back off layoff pattern', -0.0584965052133366)]}",4.0
2,2,7,Fortunate Son,0.4632,0.1584,0.9368421052631579,,,"{'pos': [('starts at this track', 0.10387071286266558), ('last race field size', 0.10209330127392802), ('career starts', 0.09917761546010476)], 'neg': [('purse change vs last', -0.15034066006347108), ('jockey win% on surface', -0.13002916807710307), ('post position', -0.07640087501696528)]}",5.0
2,3,4,Sharpasadiamond,0.45799999999999996,0.1489,0.9473684210526315,,,"{'pos': [('finish placement (last race)', 0.1776444098622721), ('jockey win% on surface', 0.09920077926477493), ('starts at this track', 0.07835861043999386)], 'neg': [('last race field size', -0.13612439681727034), ('won last race', -0.12629830153254012), ('career win%', -0.09557653232478205)]}",3.0
