race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr
1,1,8,Snitch Dorada,0.6449,0.2433,0.9157894736842105,,
1,2,4,Navy Band,0.5578,0.1943,0.8526315789473684,,
1,3,7,Miss Fortunate,0.4946,0.1675,0.8210526315789474,,
1,4,1,Boss Lady KP,0.3654,0.1196,0.8631578947368421,,
1,5,2,Queen Wiggy,0.3438,0.103,0.4421052631578947,,
1,6,5,Classy Bay,0.3005,0.0885,0.8315789473684211,,
1,7,3,Sweet Manhattan,0.2486,0.0721,0.8736842105263158,,
1,8,6,Uncaptured Ruby,0.0444,0.0117,0.8842105263157894,,
2,1,9,Box Top,0.6056,0.241,0.8526315789473684,,
2,2,5,Sunset House,0.4163,0.1399,0.8526315789473684,,
2,3,8,Lolita,0.3841,0.1269,0.9052631578947369,,
2,4,3,Belle Cause,0.3769,0.1207,0.8947368421052632,,
2,5,1,Zero Degrees,0.3767,0.1239,0.8947368421052632,,
2,6,4,Changes,0.3387,0.1022,0.9052631578947369,,
2,7,7,Macnick Time,0.1799,0.0512,0.8105263157894737,,
2,8,6,Jumping Jada,0.1722,0.0487,0.8105263157894737,,
2,9,2,Can You See Me Now,0.1496,0.0455,0.7789473684210526,,
3,1,8,Municipal,0.6616,0.2583,0.9157894736842105,,
3,2,3,Finny,0.5265,0.1781,0.8315789473684211,,
3,3,4,No Brake Needed,0.4305,0.1402,0.8105263157894737,,
3,4,2,Just Deeds,0.40409999999999996,0.1285,0.45263157894736844,,
3,5,1,Joel's Boy,0.3608,0.1152,0.8842105263157894,,
3,6,7,Charlie Hustle,0.2408,0.0734,0.4105263157894737,,
3,7,5,Jaker,0.2291,0.0645,0.8947368421052632,,
3,8,6,My Yoke,0.14659999999999998,0.0418,0.8210526315789474,,
4,1,4,Faster Gator,0.6241,0.231,0.9052631578947369,,
4,2,2,The Wine Steward,0.5383,0.1842,0.8842105263157894,,
4,3,7,Pork Chop Pete,0.5104,0.1784,0.9157894736842105,,
4,4,5,Play It Loud,0.41380000000000006,0.1318,0.8631578947368421,,
4,5,6,Hammer,0.3366,0.1056,0.9157894736842105,,
4,6,1,Dorado,0.3138,0.0902,0.9052631578947369,,
4,7,3,Midnight Show,0.263,0.0788,0.8736842105263158,,
5,1,4,Coach Siggy,0.7064999999999999,0.3036,0.9052631578947369,,
5,2,6,Justa Wizard,0.41759999999999997,0.1296,0.8526315789473684,,
5,3,7,Rum N Coke,0.3558,0.1123,0.8421052631578947,,
5,4,9,Gimmethatsugar,0.3281,0.1022,0.8947368421052632,,
5,5,2,Swift Waters,0.2946,0.0876,0.8526315789473684,,
5,6,1,Annapolis Road,0.2927,0.0899,0.8736842105263158,,
5,7,5,Felicias Cinco,0.2405,0.0677,0.8526315789473684,,
5,8,8,Youthful Energy,0.2348,0.0726,0.8736842105263158,,
5,9,3,John's Notion,0.1294,0.0345,0.8631578947368421,,
6,1,8,Redhotchiliphilly,0.567,0.2076,0.9052631578947369,,
