race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
1,1,8,Snitch Dorada,0.6194000000000001,0.2283,0.9157894736842105,,,"{'pos': [('finish position last race', 0.3467554150532933), ('jockey win% on surface', 0.19344191107156597), ('trainer win% on surface', 0.1520284094313342)], 'neg': [('closer last race', -0.10419982551969484), ('trainer win% at other tracks', -0.10392508355586434), ('class rating change vs last', -0.08726230141872118)]}"
1,2,4,Navy Band,0.5588,0.1947,0.8526315789473684,,,"{'pos': [('career ITM%', 0.3084727848063531), ('finish position last race', 0.20805325496285876), ('purse change vs last', 0.13498175393146283)], 'neg': [('last race field size', -0.08659135991206808), ('career win%', -0.0714201932360087), ('starts at this track', -0.053545781104167856)]}"
1,3,7,Miss Fortunate,0.5461,0.1897,0.8210526315789474,,,"{'pos': [('finish position last race', 0.3467554150532933), ('purse change vs last', 0.13498175393146283), ('blinkers change', 0.11541228784948904)], 'neg': [('last race field size', -0.08659135991206808), ('post position', -0.06109170601404975)]}"
1,4,1,Boss Lady KP,0.37220000000000003,0.123,0.8631578947368421,,,"{'pos': [('purse change vs last', 0.13498175393146283), ('post position', 0.085528391772306), ('speed figure last race', 0.07608169260329084)], 'neg': [('blinkers change', -0.11541228784948901), ('last race field size', -0.08659135991206808), ('career ITM%', -0.07669970615337263)]}"
1,5,2,Queen Wiggy,0.31899999999999995,0.0934,0.4421052631578947,,,"{'pos': [('pace type last race    MISSING = ', 0.1602871815346445), ('purse change vs last', 0.13498175393146283), ('starts at this track', 0.11255541965559065)], 'neg': [('no data: won last race', -0.21804853931433218), ('no data: finish position last race', -0.21804853931433218), ('blinkers change', -0.11541228784948901)]}"
1,6,5,Classy Bay,0.3081,0.0907,0.8315789473684211,,,"{'pos': [('career win% on surface', 0.09364892544236168), ('purse change vs last', 0.08810736393365004), ('jockey win% on surface', 0.08365266630422678)], 'neg': [('finish position last race', -0.34675542189661956), ('career win%', -0.13347525554980913), ('blinkers change', -0.11541228784948901)]}"
1,7,3,Sweet Manhattan,0.2385,0.0696,0.8736842105263158,,,"{'pos': [('blinkers change', 0.11541228784948904), ('career win%', 0.1060073570762953), ('no data: trainer win% off layoff', 0.0731163886123969)], 'neg': [('purse change vs last', -0.29889380711381913), ('closer last race', -0.10419982551969484), ('class rating change vs last', -0.09682528159513065)]}"
1,8,6,Uncaptured Ruby,0.037899999999999996,0.0106,0.8842105263157894,,,"{'pos': [('last race field size', 0.22128902931340433), ('trouble in last trip', 0.07626221229043668), ('career win%', 0.06432525828855676)], 'neg': [('finish position last race', -0.7628619204167935), ('purse change vs last', -0.30943165808576445), ('career ITM%', -0.24559479574157794)]}"
2,1,9,Box Top,0.6205,0.251,0.8526315789473684,,,"{'pos': [('jockey win% on surface', 0.31837929948017973), ('finish position last race', 0.27740432727765196), ('beaten lengths last race', 0.09672247491899777)], 'neg': [('post position', -0.0977467347984796)]}"
2,2,5,Sunset House,0.4178,0.1391,0.8526315789473684,,,"{'pos': [('finish position last race', 0.1387021671872174), ('jockey win% on surface', 0.07720911117529225), ('blinkers change', 0.07694152523299264)], 'neg': [('beaten lengths last race', -0.11202590842220968), ('mid-pack last race', -0.06448253359666667), ('career win%', -0.06234640912949746)]}"
