race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
1,1,8,Snitch Dorada,0.6498,0.6705,0.2446,0.9368421052631579,-0.053570179714309996,9/5,116.3,"{'pos': [('finish placement (last race)', 0.5872134714488012), ('jockey win% on surface', 0.21527731453035312), ('trainer win% on surface', 0.1642722214310904)], 'neg': [('won last race', -0.19339427422170208), ('career win%', -0.1467349180239183), ('last race field size', -0.11910885270657445)]}",False,0.9368421052631579,1.0
1,2,4,Navy Band,0.6122,0.5862,0.2225,0.9263157894736842,0.13907998440798264,2/1,115.8,"{'pos': [('finish placement (last race)', 0.31087772177139583), ('career ITM%', 0.3108462111935627), ('trainer win% on surface', 0.11230670517728385)], 'neg': [('last race field size', -0.11910885270657445), ('weight (lbs)', -0.10076393013907153), ('trainer win% at other tracks', -0.07424057055216329)]}",False,0.9263157894736842,3.0
1,3,1,Boss Lady KP,0.44189999999999996,0.4016,0.1444,0.9368421052631579,0.2001170272639391,15/1,108.2,"{'pos': [('finish placement (last race)', 0.17270985144511292), ('purse change vs last', 0.1081176002897743), ('speed figure last race', 0.09343214971102123)], 'neg': [('last race field size', -0.11910885270657445), ('career ITM%', -0.07441436027488282), ('trainer win% on surface', -0.06696696204065924)]}",False,0.9368421052631579,2.0
1,4,5,Classy Bay,0.42110000000000003,0.4101,0.1302,0.9263157894736842,0.0762551494428797,7/2,116.7,"{'pos': [('jockey win% on surface', 0.10082649196104608), ('trainer win% on surface', 0.08177407618291367), ('career win% on surface', 0.07885814654204179)], 'neg': [('finish placement (last race)', -0.2417937775834149), ('career win%', -0.12800641139075566), ('speed figure last race', -0.08858514635468029)]}",False,0.9052631578947369,4.0
1,5,2,Queen Wiggy,0.3356,0.37660000000000005,0.0979,0.6736842105263158,-0.14093439666476304,6/1,108.0,"{'pos': [('finish placement (last race)', 0.17270985144511292), ('pace type last race    MISSING = ', 0.1246443390022199), ('purse change vs last', 0.1081176002897743)], 'neg': [('no data: finish placement (last race)', -0.15837679754099357), ('no data: won last race', -0.15837679754099357), ('career ITM%', -0.08981572339769638)]}",True,0.5052631578947369,5.0
1,6,7,Miss Fortunate,0.3196,0.30510000000000004,0.0971,0.9157894736842105,0.09869628564739719,10/1,110.4,"{'pos': [('speed figure last race', 0.13681177124892183), ('purse change vs last', 0.11805689067022619), ('career win%', 0.08737131844946858)], 'neg': [('jockey win% on surface', -0.11893807376362539), ('finish placement (last race)', -0.1036259027447122), ('trainer win% on surface', -0.09616130193689323)]}",False,0.9157894736842105,7.0
1,7,3,Sweet Manhattan,0.1718,0.1774,0.0499,0.9473684210526315,-0.0026621187589710438,30/1,94.1,"{'pos': [('last race field size', 0.1985147545109574), ('career win%', 0.1265999319132723), ('speed figure last race', 0.05934817431233659)], 'neg': [('purse change vs last', -0.28239098451537603), ('finish placement (last race)', -0.2417937775834149), ('class rating change vs last', -0.1121990471222514)]}",False,0.9473684210526315,8.0
1,8,6,Uncaptured Ruby,0.048,0.0725,0.0134,0.9368421052631579,-0.4249105140406111,30/1,92.3,"{'pos': [('closeness to winner (last race)', 0.4337959479277967), ('blinkers change', 0.2135503257697004), ('last race field size', 0.1985147545109574)], 'neg': [('finish placement (last race)', -0.6562974381988811), ('purse change vs last', -0.29187556026915384), ('career ITM%', -0.2433480651163146)]}",False,0.9157894736842105,6.0
2,1,9,Box Top,0.6101,0.5751,0.2463,0.9263157894736842,0.08355810332860025,9/5,117.0,"{'pos': [('jockey win% on surface', 0.3448154386042707), ('trainer win% on surface', 0.13112196899922757), ('trainer win% (1yr)', 0.10756868862262878)], 'neg': [('post position', -0.10186783729096544), ('finish placement (last race)', -0.0921119130494753), ('closer last race', -0.08376990343702437)]}",False,0.9263157894736842,4.0
2,2,3,Belle Cause,0.39259999999999995,0.3403,0.1286,0.9263157894736842,0.16661192131850877,15/1,100.9,"{'pos': [('last race field size', 0.0882287789690977), ('post position', 0.050933917252753855)], 'neg': [('finish placement (last race)', -0.0921119130494753), ('jockey win% on surface', -0.07462570590937244), ('distance change vs last', -0.05126015858938643)]}",False,0.9263157894736842,1.0
2,3,5,Sunset House,0.36819999999999997,0.3812,0.1201,0.9157894736842105,-0.13767516692572823,9/2,106.2,"{'pos': [('trainer win% on surface', 0.13112196899922757), ('trainer win% (1yr)', 0.10756868862262878), ('trainer win% at track', 0.09043287635595149)], 'neg': [('weight (lbs)', -0.09329993588727918), ('career ITM%', -0.07332702692172569), ('last race field size', -0.07058302463966823)]}",False,0.9157894736842105,3.0
2,4,8,Lolita,0.3262,0.3517,0.1079,0.9368421052631579,-0.1869545594587484,10/1,104.2,"{'pos': [('finish placement (last race)', 0.32239170695421293), ('career ITM%', 0.25521070440451316), ('last race was maiden', 0.1684896045101823)], 'neg': [('last race field size', -0.30880072273086656), ('won last race', -0.17190602153040185), ('closer last race', -0.08376990343702437)]}",False,0.9368421052631579,9.0
2,5,4,Changes,0.2869,0.2975,0.0862,0.9368421052631579,-0.118140637122925,10/1,102.7,"{'pos': [('finish placement (last race)', 0.18422383211551024), ('career ITM%', 0.07861335256802776)], 'neg': [('last race field size', -0.1499889264440512), ('purse change vs last', -0.14241130343291689), ('class rating change vs last', -0.11427680688982424)]}",False,0.9368421052631579,7.0
2,6,2,Can You See Me Now,0.2868,0.2792,0.0909,0.9263157894736842,-0.013756907392881379,20/1,95.1,"{'pos': [('finish placement (last race)', 0.32239170695421293), ('last race was maiden', 0.1684896045101823), ('last race field size', 0.0882287789690977)], 'neg': [('won last race', -0.17190602153040185), ('jockey win% on surface', -0.14573031987013285), ('career ITM%', -0.12486235774375812)]}",False,0.9263157894736842,6.0
2,7,1,Zero Degrees,0.2559,0.2596,0.0818,0.9263157894736842,-0.08213619767464753,8/1,101.9,"{'pos': [('post position', 0.10186783543399361), ('last race field size', 0.0882287789690977), ('speed figure last race', 0.05518358333377222)], 'neg': [('finish placement (last race)', -0.36844766723930045), ('trainer win% on surface', -0.1362521507968231), ('trainer win% at track', -0.09325794073061283)]}",False,0.9263157894736842,2.0
2,8,6,Jumping Jada,0.25,0.2966,0.0725,0.9157894736842105,-0.30692960064727526,5/2,105.5,"{'pos': [('finish placement (last race)', 0.18422383211551024), ('last race field size', 0.0882287789690977)], 'neg': [('career ITM%', -0.15876718304951135), ('jockey win% on surface', -0.14773394947111182)]}",False,0.9157894736842105,5.0
2,9,7,Macnick Time,0.2233,0.2188,0.0657,0.9157894736842105,-0.03677229628047218,20/1,102.9,"{'pos': [('closeness to winner (last race)', 0.10515225643919339), ('last race field size', 0.0882287789690977), ('career ITM%', 0.07268974406363504)], 'neg': [('finish placement (last race)', -0.5066155420780031), ('trainer win% (1yr)', -0.08740295738376844), ('trainer win% on surface', -0.08598874307617878)]}",False,0.9157894736842105,8.0
3,1,8,Municipal,0.7936,0.7471999999999999,0.3346,0.9263157894736842,0.14393858213570332,9/2,112.9,"{'pos': [('finish placement (last race)', 0.3684476654844705), ('jockey win% on surface', 0.1656159694728457), ('trainer win% on surface', 0.15482781360069892)], 'neg': [('won last race', -0.14734801845463016), ('pace progression last race', -0.09047497921869159), ('trainer win% at other tracks', -0.06547883590816642)]}",False,0.9263157894736842,3.0
3,2,4,No Brake Needed,0.5938000000000001,0.606,0.1948,0.9263157894736842,-0.18803844013595838,6/1,110.2,"{'pos': [('career ITM%', 0.2204157120689012), ('speed figure last race', 0.13722121783284347), ('career win%', 0.11122980774308425)], 'neg': [('starts at this track', -0.10948944790020845), ('career win% on surface', -0.09329466889296283), ('career starts', -0.08774463697180013)]}",False,0.9263157894736842,2.0
3,3,2,Just Deeds,0.5644,0.617,0.1728,0.6736842105263158,-0.3724645589098564,3/5,116.1,"{'pos': [('trainer home = GP', 0.19518363065011668), ('jockey home = GP', 0.1866893031914555), ('jockey win% on surface', 0.1652402799193657)], 'neg': [('trainer starts at other tracks', -0.3862852154323517), ('no data: finish placement (last race)', -0.15083504527713673), ('no data: won last race', -0.15083504527713673)]}",True,0.5157894736842106,1.0
3,4,7,Charlie Hustle,0.48819999999999997,0.4509,0.145,0.8947368421052632,0.017505638918481226,30/1,95.3,"{'pos': [('finish placement (last race)', 0.3684476654844705), ('last race was maiden', 0.1444196610087277), ('career win% on surface', 0.0991411114701655)], 'neg': [('career win%', -0.17870175550646508), ('won last race', -0.14734801845463016), ('class rating change vs last', -0.12310729038143246)]}",False,0.8947368421052632,6.0
3,5,6,My Yoke,0.3928,0.3861,0.11,0.9157894736842105,-0.11677814190193136,15/1,106.0,"{'pos': [('closeness to winner (last race)', 0.24011098862188107), ('career win%', 0.11065354824008758), ('purse change vs last', 0.11031520388329066)], 'neg': [('finish placement (last race)', -0.3223917087090429), ('jockey win% on surface', -0.1685994188211328), ('career ITM%', -0.13065881669131488)]}",False,0.9157894736842105,5.0
3,6,5,Jaker,0.1672,0.1928,0.0428,0.9263157894736842,-0.31871534668034474,30/1,99.4,"{'pos': [('last race field size', 0.10587453573917728), ('trainer starts at other tracks', 0.08126703322471425), ('won last race', 0.07367400922731508)], 'neg': [('finish placement (last race)', -0.46055958354774557), ('purse change vs last', -0.3469419763551344), ('trainer win% on surface', -0.13443671867993015)]}",False,0.9263157894736842,4.0
4,1,4,Faster Gator,0.6018,0.5704,0.2186,0.9263157894736842,0.3626079328822476,7/5,132.0,"{'pos': [('jockey win% on surface', 0.18900618257965443), ('speed figure last race', 0.17920965039120648), ('finish placement (last race)', 0.11842960700460226)], 'neg': [('career ITM%', -0.13925967374580503), ('won last race', -0.12629830153254015), ('last race field size', -0.09074959683218731)]}",False,0.9263157894736842,7.0
4,2,2,The Wine Steward,0.5637000000000001,0.5274,0.1974,0.9157894736842105,0.37550698122735676,8/5,129.9,"{'pos': [('purse change vs last', 0.31652249719143943), ('trainer home = GP', 0.20076030581154858), ('jockey home = GP', 0.19202328328263993)], 'neg': [('career ITM%', -0.2648770427456099), ('trainer starts at other tracks', -0.16068453312956982), ('last race (days ago)', -0.1412027186417324)]}",False,0.9157894736842105,2.0
4,3,7,Pork Chop Pete,0.5074,0.5477,0.1769,0.9368421052631579,0.062074381730829686,8/1,123.4,"{'pos': [('career ITM%', 0.2591480670533236), ('jockey win% on surface', 0.2251002299106936), ('pace progression last race', 0.09523682290372872)], 'neg': [('closer last race', -0.08975346796824038), ('post position', -0.07640087501696528), ('starts at this track', -0.06742484718795491)]}",False,0.9368421052631579,6.0
4,4,5,Play It Loud,0.4314,0.4377,0.1395,0.9368421052631579,0.21430241578479067,8/1,127.1,"{'pos': [('speed figure last race', 0.16593015789930812), ('won last race', 0.0947237261494051), ('trainer win% rising class', 0.05765294939462652)], 'neg': [('jockey win% on surface', -0.17580232895888082), ('finish placement (last race)', -0.1579061426728031), ('last race field size', -0.09074959683218731)]}",False,0.9368421052631579,1.0
4,5,1,Dorado,0.32420000000000004,0.35429999999999995,0.095,0.9368421052631579,0.09295798680336032,15/1,116.5,"{'pos': [('career win%', 0.13314425885699613), ('won last race', 0.0947237261494051), ('post position', 0.07640087581281035)], 'neg': [('jockey win% on surface', -0.12000164731907709), ('starts at this track', -0.09293695606449162), ('career win% on surface', -0.08993143577010544)]}",False,0.9368421052631579,4.0
4,6,6,Hammer,0.2971,0.3113,0.0906,0.9368421052631579,0.16491465839285213,6/1,124.4,"{'pos': [('career ITM%', 0.14886967488129704), ('won last race', 0.0947237261494051), ('pace progression last race', 0.08571313699814828)], 'neg': [('finish placement (last race)', -0.1579061426728031), ('speed figure last race', -0.12533293059416536), ('career win%', -0.10640631868405198)]}",False,0.9368421052631579,3.0
4,7,3,Midnight Show,0.2744,0.2512,0.082,0.9473684210526315,0.3404938889796515,20/1,124.9,"{'pos': [('last race field size', 0.14746810125901105), ('career win% on surface', 0.14103188796448113), ('finish placement (last race)', 0.11842960700460226)], 'neg': [('purse change vs last', -0.283005784286142), ('trainer home = MNR', -0.27212166508274804), ('career win%', -0.21483443683237669)]}",False,0.9473684210526315,5.0
5,1,4,Coach Siggy,0.6724,0.6911999999999999,0.2721,0.9157894736842105,-0.026346181826887527,2/1,117.7,"{'pos': [('closeness to winner (last race)', 0.3026416791681403), ('jockey win% on surface', 0.16254006235577195), ('career ITM%', 0.14344285855899402)], 'neg': [('speed figure last race', -0.11499039313124892), ('last race field size', -0.1058745357391773), ('career win%', -0.08454118420083126)]}",False,0.9157894736842105,1.0
