race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov
1,1,7,Cat Fast,0.5688,0.2082,0.9157894736842105,9/5,110.7,"{'pos': [('jockey win% on surface', 0.18398793898774712), ('trainer win% on surface', 0.18395130389388825), ('speed figure last race', 0.1454323520544245)], 'neg': [('career ITM%', -0.09213156437632261), ('closeness to winner (last race)', -0.08740280658048757), ('trainer win% at other tracks', -0.07475278842604628)]}",False,0.8842105263157894
1,2,5,Abdicate,0.5192,0.1779,0.9052631578947369,10/1,105.8,"{'pos': [('finish placement (last race)', 0.3108777166949236), ('career ITM%', 0.19930487114216439), ('last race field size', 0.14888606496797424)], 'neg': [('career win%', -0.07028162152240347), ('purse change vs last', -0.0699085409446648), ('closer last race', -0.06282742757776827)]}",False,0.9052631578947369
1,3,3,Market Watch,0.4763,0.1584,0.8631578947368421,9/2,107.2,"{'pos': [('finish placement (last race)', 0.17270984185622093), ('career ITM%', 0.10021648477097825), ('jockey win% on surface', 0.0914483008924405)], 'neg': [('last race field size', -0.08933164044517465), ('closeness to winner (last race)', -0.05650932587401342)]}",False,0.8631578947368421
1,4,6,Policy Change,0.40269999999999995,0.1281,0.8736842105263158,2/1,113.1,"{'pos': [('career ITM%', 0.15211992525112336), ('speed figure last race', 0.13746467329793055), ('class rating change vs last', 0.09116172305334805)], 'neg': [('finish placement (last race)', -0.10362590782118442), ('closeness to winner (last race)', -0.09564106715136636), ('career win%', -0.08730753031864576)]}",False,0.8736842105263158
1,5,4,C'Est La Vie Nick,0.328,0.1071,0.8736842105263158,20/1,96.1,"{'pos': [('last race field size', 0.14888606496797424), ('jockey win% on surface', 0.08075152041574961), ('career win% on surface', 0.07037911262305613)], 'neg': [('finish placement (last race)', -0.2417937826598871), ('career win%', -0.10603602785358707), ('closeness to winner (last race)', -0.09564106715136636)]}",False,0.8631578947368421
1,6,8,York Tavern,0.2785,0.0883,0.8736842105263158,5/1,99.8,"{'pos': [('closeness to winner (last race)', 0.5201689848067961), ('career win%', 0.09997745412898865), ('closer last race', 0.06282742757776827)], 'neg': [('finish placement (last race)', -0.2417937826598871), ('speed figure last race', -0.23542291847769503), ('last race field size', -0.08933164044517465)]}",False,0.8421052631578947
1,7,1,Kvellion,0.2492,0.0794,0.9157894736842105,20/1,95.2,"{'pos': [('post position', 0.08913435577262294), ('last race field size', 0.06948016316359126)], 'neg': [('career ITM%', -0.13729030183536134), ('jockey win% on surface', -0.13131848605357704), ('closeness to winner (last race)', -0.0925517203287065)]}",False,0.9052631578947369
1,8,2,Town Hot,0.1773,0.0526,0.8842105263157894,30/1,85.4,"{'pos': [('career win%', 0.12338808014186489), ('class rating change vs last', 0.09116172305334805), ('purse change vs last', 0.06418447427035243)], 'neg': [('career ITM%', -0.2689053165016505), ('last race field size', -0.16873753492760707), ('starts at this track', -0.14031657643410775)]}",False,0.8842105263157894
2,1,3,Candied Up,0.6596,0.2576,0.9157894736842105,5/2,110.5,"{'pos': [('finish placement (last race)', 0.19738267705174106), ('trainer win% on surface', 0.1875520802029161), ('last race was maiden', 0.1856824212969356)], 'neg': [('won last race', -0.15787287691567517), ('last race field size', -0.10209329604396337), ('trainer win% at other tracks', -0.08195941003420729)]}",False,0.9157894736842105
2,2,2,Fortunate Son,0.5202,0.175,0.9157894736842105,9/2,112.8,"{'pos': [('career ITM%', 0.20188285733453812), ('speed figure last race', 0.09232394984078732), ('trouble in last trip', 0.06315386475165145)], 'neg': [('career win%', -0.08004602748186751), ('finish placement (last race)', -0.07895307262566428), ('jockey win% on surface', -0.0503205963260039)]}",False,0.9052631578947369
