race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
1,1,7,Cat Fast,0.6201000000000001,0.2328,0.9368421052631579,9/5,110.7,"{'pos': [('jockey win% on surface', 0.1520361596295264), ('trainer win% on surface', 0.15149366859586785), ('speed figure last race', 0.14900832462194935)], 'neg': [('career ITM%', -0.11174446463851709), ('closeness to winner (last race)', -0.10062448091315995), ('2nd-back off layoff pattern', -0.0584965052133366)]}",False,0.9157894736842105,4.0
1,2,3,Market Watch,0.5476,0.1903,0.9368421052631579,9/2,107.2,"{'pos': [('finish placement (last race)', 0.17764440921764066), ('career ITM%', 0.08060358450878377), ('trainer win% on surface', 0.06883702990163554)], 'neg': [('last race field size', -0.0794059028503759), ('closeness to winner (last race)', -0.06973100020668578), ('class rating change vs last', -0.05743522457961593)]}",False,0.9368421052631579,3.0
1,3,6,Policy Change,0.4961,0.1697,0.9473684210526315,2/1,113.1,"{'pos': [('speed figure last race', 0.1410406458654554), ('career ITM%', 0.13250702498892888), ('purse change vs last', 0.10622717515331852)], 'neg': [('jockey win% on surface', -0.11356547869873523), ('closeness to winner (last race)', -0.10886274148403874), ('finish placement (last race)', -0.0986913404597647)]}",False,0.9473684210526315,2.0
1,4,5,Abdicate,0.4679,0.1503,0.9368421052631579,10/1,105.8,"{'pos': [('finish placement (last race)', 0.3158122840563433), ('career ITM%', 0.1796919708799699), ('last race field size', 0.158811802562773)], 'neg': [('purse change vs last', -0.15659512629467154), ('weight (lbs)', -0.13195276572531983), ('jockey win% on surface', -0.07905217913640167)]}",False,0.9368421052631579,7.0
1,5,8,York Tavern,0.3508,0.1083,0.9368421052631579,5/1,99.8,"{'pos': [('closeness to winner (last race)', 0.5069473104741237), ('career win%', 0.10226632805260769), ('weight (lbs)', 0.0695750945528232)], 'neg': [('finish placement (last race)', -0.23685921529846737), ('speed figure last race', -0.2318469459101702), ('last race field size', -0.0794059028503759)]}",False,0.9157894736842105,1.0
1,6,4,C'Est La Vie Nick,0.33840000000000003,0.1024,0.9368421052631579,20/1,96.1,"{'pos': [('last race field size', 0.158811802562773), ('career win% on surface', 0.0688599222885732)], 'neg': [('finish placement (last race)', -0.23685921529846737), ('purse change vs last', -0.15659512629467154), ('closeness to winner (last race)', -0.10886274148403874)]}",False,0.9368421052631579,5.0
1,7,2,Town Hot,0.17909999999999998,0.0462,0.9473684210526315,30/1,85.4,"{'pos': [('career win%', 0.12567695406548393), ('purse change vs last', 0.10622717515331852), ('class rating change vs last', 0.08281357989541056)], 'neg': [('career ITM%', -0.288518216763845), ('trainer win% on surface', -0.1682975408079121), ('last race field size', -0.1588117973328083)]}",False,0.9473684210526315,6.0
2,1,3,Candied Up,0.6535,0.2505,0.9473684210526315,5/2,110.5,"{'pos': [('finish placement (last race)', 0.19738267705174106), ('last race was maiden', 0.1856824212969356), ('trainer win% on surface', 0.182135244215563)], 'neg': [('won last race', -0.15787287691567517), ('last race field size', -0.10209329604396337), ('trainer win% at other tracks', -0.07455371962174118)]}",False,0.9473684210526315,5.0
2,2,6,Holiday Cash,0.5197999999999999,0.1761,0.9368421052631579,2/1,115.1,"{'pos': [('career ITM%', 0.1456624886873234), ('trainer win% on surface', 0.09947860552133068), ('career win%', 0.09021304961955365)], 'neg': [('career win% on surface', -0.062440241663947765), ('class rating change vs last', -0.05743522667456259), ('speed figure last race', -0.054256131078464026)]}",False,0.9368421052631579,1.0
2,3,2,Fortunate Son,0.5182,0.1736,0.9368421052631579,9/2,112.8,"{'pos': [('career ITM%', 0.20188285733453812), ('speed figure last race', 0.0927033631149061), ('trouble in last trip', 0.06315386475165145)], 'neg': [('career win%', -0.08004602748186751), ('finish placement (last race)', -0.07895307262566428)]}",False,0.9368421052631579,2.0
