race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
1,1,6,Heartbeat,0.5186999999999999,0.183,0.9263157894736842,,,"{'pos': [('trainer home = GP', 0.20076030581154858), ('purse change vs last', 0.10188282739152509), ('trainer win% (1yr)', 0.09853507745318)], 'neg': [('last race field size', -0.10209330231992095), ('speed trend (last 3)', -0.0910767090477551), ('career ITM%', -0.07187157728018631)]}",7
1,2,2,Danzig's Dora,0.5085,0.1743,0.5052631578947369,,,"{'pos': [('speed figure last race', 0.12906383260534812), ('pace type last race    MISSING = ', 0.12210057698176643), ('career ITM%', 0.09132364054187357)], 'neg': [('closeness to winner (last race)', -0.156674085352583), ('no data: finish placement (last race)', -0.15514461799934065), ('no data: won last race', -0.15514461799934065)]}",6
1,3,1,Menkaure,0.4768,0.1578,0.8210526315789474,,,"{'pos': [('closeness to winner (last race)', 0.852512981961455), ('jockey win% on surface', 0.18998459106024695), ('last race was maiden', 0.1856824212969356)], 'neg': [('speed figure last race', -0.9275395826019792), ('finish placement (last race)', -0.19738267963026662), ('no data: trainer win% off layoff', -0.10039456688082746)]}",5
1,4,7,Final Shipman,0.4689,0.1633,0.9263157894736842,,,"{'pos': [('finish placement (last race)', 0.35528881972454407), ('speed figure last race', 0.1826243688619274), ('career ITM%', 0.06909271276075644)], 'neg': [('closeness to winner (last race)', -0.14637625785614516), ('jockey win% on surface', -0.08359908177840684), ('post position', -0.07640087501696528)]}",3
1,5,4,Carol's Melody,0.4326,0.1409,0.8842105263157894,,,"{'pos': [('speed figure last race', 0.19590384740495487), ('finish placement (last race)', 0.07895307455955851), ('trouble in last trip', 0.07578463770198175)], 'neg': [('closeness to winner (last race)', -0.16182299791224236), ('closer last race', -0.08975346796824038), ('purse change vs last', -0.07583882673975781)]}",1
1,6,5,True Princess,0.3209,0.0995,0.8526315789473684,,,"{'pos': [('speed figure last race', 0.12906383260534812), ('purse change vs last', 0.10188282739152509), ('class rating change vs last', 0.08682068825832531)], 'neg': [('finish placement (last race)', -0.19738267963026662), ('closeness to winner (last race)', -0.156674085352583), ('jockey win% on surface', -0.1245061833419939)]}",2
1,7,3,Wild Acclaim,0.2736,0.0812,0.8842105263157894,,,"{'pos': [('speed figure last race', 0.19590384740495487), ('last race field size', 0.05671850128884498)], 'neg': [('closeness to winner (last race)', -0.16182299791224236), ('closer last race', -0.08975346796824038), ('trainer win% (1yr)', -0.07909599282179937)]}",4
2,1,1,Junction,0.3685,0.1288,0.5263157894736842,,,"{'pos': [('speed figure last race', 0.1276036604961738), ('post position', 0.12733479418698226), ('finish placement (last race)', 0.0753642998789849)], 'neg': [('last race was maiden', -0.07877436055021511), ('closeness to winner (last race)', -0.06599970751241525), ('no data: finish placement (last race)', -0.06581892884820513)]}",8
2,2,2,When I Go,0.3639,0.1245,0.7894736842105263,,,"{'pos': [('last race field size', 0.25987384846933426), ('last race was maiden', 0.13785513096287644), ('no data: finish placement (last race)', 0.11518312548435895)], 'neg': [('speed figure last race', -0.19420222097438392), ('pace type last race    MISSING = ', -0.09065042836525083), ('career ITM%', -0.07134910407026535)]}",3
2,3,9,Full Access,0.36319999999999997,0.13,0.5263157894736842,,,"{'pos': [('trainer home = GP', 0.21292759707285455), ('jockey win% on surface', 0.14581908277852226), ('speed figure last race', 0.1276036604961738)], 'neg': [('last race was maiden', -0.07877436055021511), ('post position', -0.07640087853797678), ('closeness to winner (last race)', -0.06599970751241525)]}",1
2,4,8,Unbridled Freedom,0.356,0.1185,0.5052631578947369,,,"{'pos': [('speed figure last race', 0.1276036604961738), ('jockey win% on surface', 0.07630938477395126), ('finish placement (last race)', 0.0753642998789849)], 'neg': [('last race was maiden', -0.07877436055021511), ('closeness to winner (last race)', -0.06599970751241525), ('no data: finish placement (last race)', -0.06581892884820513)]}",2
2,5,3,Cairo Charlie,0.2663,0.088,0.5157894736842106,,,"{'pos': [('speed figure last race', 0.1276036604961738), ('post position', 0.0764008760057425), ('finish placement (last race)', 0.0753642998789849)], 'neg': [('last race was maiden', -0.07877436055021511), ('trainer recency (days since win)', -0.07248304153480425), ('closeness to winner (last race)', -0.06599970751241525)]}",9
2,6,12,Night Knight,0.2486,0.0833,0.5263157894736842,,,"{'pos': [('speed figure last race', 0.1276036604961738), ('finish placement (last race)', 0.0753642998789849), ('trainer home = MNR', 0.05772277744179504)], 'neg': [('post position', -0.1273347930052729), ('last race was maiden', -0.07877436055021511), ('closeness to winner (last race)', -0.06599970751241525)]}",6
2,7,10,Lookism,0.2421,0.0745,0.9157894736842105,,,"{'pos': [('finish placement (last race)', 0.35170004504397046), ('last race was maiden', 0.13785513096287644), ('no data: won last race', 0.11518312548435895)], 'neg': [('trainer home = MNR', -0.2597524984880777), ('purse change vs last', -0.1098643002291007), ('post position', -0.10186783577162484)]}",5
2,8,4,Tipoff,0.2395,0.0802,0.8,,,"{'pos': [('closeness to winner (last race)', 0.1811481345736993), ('last race was maiden', 0.13785513096287644), ('no data: won last race', 0.11518312548435895)], 'neg': [('speed figure last race', -0.20925229944625592), ('finish placement (last race)', -0.20097145431084024), ('pace type last race    MISSING = ', -0.09065042836525083)]}",7
2,9,7,Breadcrumb Trail,0.20900000000000002,0.0674,0.5052631578947369,,,"{'pos': [('speed figure last race', 0.1276036604961738), ('finish placement (last race)', 0.0753642998789849), ('trainer home = MNR', 0.05772277744179504)], 'neg': [('jockey win% on surface', -0.09543701777129504), ('last race was maiden', -0.07877436055021511), ('trainer win% on surface', -0.07321266409156642)]}",4
2,10,6,Gimmeatreat,0.1914,0.0589,0.5263157894736842,,,"{'pos': [('speed figure last race', 0.1276036604961738), ('finish placement (last race)', 0.0753642998789849), ('pace type last race    MISSING = ', 0.051800244780143334)], 'neg': [('trainer home = MNR', -0.2597524984880777), ('trainer recency (days since win)', -0.1088683693414079), ('last race was maiden', -0.07877436055021511)]}",11
2,11,5,Honorand Courage,0.15150000000000002,0.0459,0.8631578947368421,,,"{'pos': [('closeness to winner (last race)', 0.35106227162508963), ('last race field size', 0.25987384846933426), ('last race was maiden', 0.13785513096287644)], 'neg': [('finish placement (last race)', -0.7536429897650091), ('speed figure last race', -0.5084830876195298), ('avg finish placement (last 3)', -0.2072881991956276)]}",10
3,1,1,Culprit,0.7482,0.2835,0.9368421052631579,,,"{'pos': [('class rating change vs last', 0.11219904816529877), ('finish placement (last race)', 0.11053429896847819), ('purse change vs last', 0.10275544957103214)], 'neg': [('no data: trainer win% off layoff', -0.09370159575543896), ('last race (days ago)', -0.08800682104040951), ('days since last (recency)', -0.08800682104040951)]}",4
3,2,8,Good Mojo,0.7253000000000001,0.2672,0.9263157894736842,,,"{'pos': [('career ITM%', 0.17007788935291082), ('finish placement (last race)', 0.11053429896847819), ('trainer win% on surface', 0.10598408843774834)], 'neg': [('post position', -0.050933918181239754)]}",3
3,3,4,Feral,0.5796,0.1771,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.24870217380718088), ('trainer home = GP', 0.187376285424112), ('last race was maiden', 0.17330359321047323)], 'neg': [('won last race', -0.17681762214555619), ('career win%', -0.15044405432690322), ('moving up in class', -0.07897173938966262)]}",1
