race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr
1,1,6,Restore,0.45,0.1537,0.8421052631578947,6/1,115.1
1,2,4,Tiz Freedom,0.44999999999999996,0.1542,0.8526315789473684,5/2,116.7
1,3,3,Executor,0.40260000000000007,0.1337,0.5894736842105263,2/1,130.2
1,4,7,This Beau Knows,0.391,0.1304,0.5789473684210527,6/1,100.8
1,5,1,Culture War,0.3863,0.1345,0.8421052631578947,,113.5
1,6,8,Ramblin,0.3674,0.1221,0.6,6/1,111.5
1,7,2,Fight the Power,0.3452,0.1119,0.5789473684210527,30/1,103.5
1,8,5,Malevaje,0.2075,0.0595,0.8210526315789474,30/1,94.6
2,1,2,Honor Bound,0.4352,0.1578,0.8526315789473684,12/1,104.3
2,2,7,Pelican Hill,0.4017,0.1294,0.8631578947368421,9/2,116.5
2,3,3,Mc Kinsense,0.388,0.1326,0.8105263157894737,6/1,119.0
2,4,1,Pick a Switch,0.2717,0.0917,0.5578947368421052,20/1,104.3
2,5,10,Problem Solved,0.26239999999999997,0.0865,0.8421052631578947,3/1,
2,6,8,Whatever,0.2606,0.0825,0.8526315789473684,8/1,105.4
2,7,4,Four Dimes,0.25560000000000005,0.0845,0.5368421052631579,6/1,
2,8,5,Props,0.2456,0.0821,0.8842105263157894,12/1,98.5
2,9,6,Princeof Light,0.24469999999999997,0.0799,0.8315789473684211,5/1,108.2
2,10,9,Hartzus,0.2345,0.073,0.5368421052631579,20/1,
3,1,2,Positive Equity,0.5813999999999999,0.2243,0.8526315789473684,,103.1
3,2,7,Al Amjaad,0.4161,0.1416,0.8210526315789474,5/1,95.2
3,3,8,T V Channel,0.40969999999999995,0.1421,0.631578947368421,5/2,125.2
3,4,5,Nyttime Story,0.3029,0.0947,0.8,15/1,95.9
3,5,9,Crude Intentions,0.3025,0.0953,0.6105263157894737,12/1,92.4
3,6,4,Hamlet,0.29800000000000004,0.0935,0.8,8/1,101.0
3,7,3,Can't Stop Willis,0.2409,0.0729,0.8421052631578947,4/1,109.9
3,8,1,Blakely's Boy,0.2269,0.0691,0.8105263157894737,30/1,78.5
