race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov
1,1,5,Goddessof Beauty,0.7719,0.7323,0.3408,0.7789473684210526,-0.07446626106070553,,,"{'pos': [('finish placement (last race)', 0.2368592101414162), ('last race was maiden', 0.1856824212969356), ('no data: won last race', 0.15514461799934062)], 'neg': [('pace type last race    MISSING = ', -0.12210057698176643), ('trainer home = GP', -0.10038015290577429), ('no data: avg finish placement (last 3)', -0.0674872096214014)]}",False,0.7789473684210526
1,2,7,Lexi's Breeze,0.4428,0.4441,0.1388,0.4631578947368421,-0.30258270959086164,,,"{'pos': [('trainer home = GP', 0.1338402038743657), ('jockey home = GP', 0.12801552218842663)], 'neg': [('post position', -0.07640087501696528), ('jockey win% on surface', -0.06796528411043443)]}",True,0.4631578947368421
1,3,2,Daughter's Legacy,0.4294,0.43119999999999997,0.1296,0.43157894736842106,-0.30258270959086153,,,"{'pos': [('trainer home = GP', 0.1338402038743657), ('post position', 0.050933918579162296)], 'neg': [('jockey home = GP', -0.09601164164131995)]}",True,0.43157894736842106
1,4,3,The Secret Ana,0.41779999999999995,0.4177,0.1241,0.43157894736842106,-0.30258270959086164,,,"{'pos': [('trainer home = GP', 0.1338402038743657)], 'neg': [('jockey home = GP', -0.09601164164131995)]}",True,0.43157894736842106
1,5,6,La Chinita,0.3903,0.39280000000000004,0.1196,0.42105263157894735,-0.30258270959086153,,,"{'pos': [('jockey home = GP', 0.12801552218842663), ('jockey win% on surface', 0.05922445263427979), ('jockey starts (30d)', 0.051256949681040546)], 'neg': [('trainer home = GP', -0.10038015290577429), ('post position', -0.050933917783317226)]}",True,0.42105263157894735
1,6,4,Yes I'm Gorgeous,0.2832,0.2841,0.0794,0.3894736842105263,-0.30258270959086153,,,"{'pos': [], 'neg': [('trainer home = GP', -0.10038015290577429), ('jockey home = GP', -0.09601164164131995)]}",True,0.3894736842105263
1,7,1,Siena Belle,0.2646,0.2978,0.0677,0.3894736842105263,-0.4615793943822626,,,"{'pos': [('post position', 0.07640087581281035)], 'neg': [('trainer home = GP', -0.10038015290577429), ('jockey home = GP', -0.09601164164131995)]}",True,0.3894736842105263
2,1,1,Cadenced,0.5637,0.5477000000000001,0.1956,0.8526315789473684,-0.03478325469767818,,,"{'pos': [('last race field size', 0.18528043388258497), ('blinkers change', 0.12202875758268593), ('post position', 0.06366739664331614)], 'neg': [('speed figure last race', -0.1723380437712237), ('career ITM%', -0.10013291608679883)]}",False,0.8526315789473684
2,2,3,Bleu Martini,0.5537,0.5574999999999999,0.1952,0.8421052631578947,-0.12866108302702473,,,"{'pos': [('blinkers change', 0.12202875758268593)], 'neg': [('last race field size', -0.05293727153056392)]}",False,0.8421052631578947
2,3,6,Smellof Money,0.5275,0.4822,0.1723,0.8105263157894737,0.07013161148842117,,,"{'pos': [('last race field size', 0.105874532078202), ('jockey win% (90d)', 0.06305199877290149)], 'neg': [('blinkers change', -0.12202875758268596), ('no data: career win% on surface', -0.0689743724060955), ('post position', -0.06366739695281144)]}",False,0.8105263157894737
2,4,4,Don't Go Astray,0.4723,0.4366,0.1549,0.8210526315789474,0.052492940269404764,,,"{'pos': [('trainer home = GP', 0.19518363065011668), ('blinkers change', 0.12202875758268593), ('speed figure last race', 0.08218517989195157)], 'neg': [('last race field size', -0.2117490604954288), ('jockey home = GP', -0.1866893031914555), ('trainer win% on surface', -0.07076656535804829)]}",False,0.8210526315789474
