fold,half_life_days,l2,alpha,beta,gamma,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,itm_hit_rate_top3,itm_hit_rate_top4,itm_precision_top3,itm_precision_top4,itm_recall_top3,itm_recall_top4,itm_full_sweep_top_3
fold1_val2024,365.25,0.001,0.19203242805777782,0.7922046664039366,-0.007591551442822572,9613.967925613131,1.0949081000871956,1.8614996895838376,2.1272205725071935,0.2580182885219053,0.24788583509513742,0.61892177589852,0.7407407407407407,3.0725806451612905,4774,3.1618490671122252,3591,3.4942484662576687,2608,3.8346983951300504,1807,0.97467018469657,0.9963060686015831,0.6179419525065963,0.5639401934916446,0.6191292875989446,0.7525505716798592,0.16517150395778363
fold2_val2025,365.25,0.001,0.11983370421671864,0.7897780356620248,-0.03521294708874947,11276.559906904093,1.3254981000209227,1.8595625392779915,2.128799290520375,0.26259946949602125,0.24322925651198896,0.6103156805244092,0.7276853252647504,3.2831766148814396,4892,3.39661912308505,3786,3.5696256684491976,2805,3.659141882008776,2051,0.9731404958677686,0.993801652892562,0.6091597796143251,0.5645661157024794,0.6103650137741046,0.7539170110192835,0.15289256198347106
fold3_val2026Q1,365.25,0.001,0.17472808897980732,0.7348574850848969,-0.016438577067062837,12142.21924705982,1.221915900008753,1.9040805359711186,2.1798447783617454,0.2569428238039673,0.22484848484848485,0.5927272727272728,0.6666666666666666,3.307396870554765,1406,3.584560143626571,1114,3.848894062863795,859,4.055120481927712,664,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5446265938069217,0.593351548269581,0.7255616272009714,0.12386156648451731
fold4_val2026Q2,365.25,0.001,0.1995598409055405,0.7085086564964376,-0.01581489721494581,12709.848455021782,1.3929809000110254,1.7998014860170202,2.092982850367602,0.2850277264325323,0.24179620034542315,0.6312607944732297,0.73,3.23852544132918,963,3.3824494949494954,792,3.4401253918495303,638,3.432170542635659,516,0.9974160206718347,1.0,0.6296296296296297,0.5902239448751078,0.6315676141257537,0.7876830318690785,0.1731266149870801
fold1_val2024,365.25,0.01,0.1922612277362622,0.7921666262785668,-0.006514505654662705,9613.887567933092,1.0637822999851778,1.8615032160192189,2.12722990131387,0.25801828852190534,0.24788583509513742,0.61892177589852,0.7407407407407407,3.0688586387434555,4775,3.1785276073619633,3586,3.5022962112514353,2613,3.8185287610619465,1808,0.97467018469657,0.9963060686015831,0.6179419525065963,0.5638082673702726,0.6191292875989446,0.7523746701846966,0.16517150395778363
fold2_val2025,365.25,0.01,0.11965390730567581,0.7898094797144133,-0.03522326044993269,11276.592443150768,1.3306560999481007,1.859562964542548,2.1288020915522576,0.2625994694960212,0.2434017595307918,0.610488183543212,0.7276853252647504,3.2753475061324613,4892,3.3977807133421396,3785,3.5679971489665,2806,3.659141882008776,2051,0.9731404958677686,0.993801652892562,0.609331955922865,0.5645661157024794,0.6105371900826446,0.7539170110192835,0.1534090909090909
fold3_val2026Q1,365.25,0.01,0.17398959203094502,0.7350467073464404,-0.016456587359910527,12142.186767164425,1.2495627999305725,1.9040922826574653,2.179848939346264,0.2569428238039673,0.22484848484848485,0.5927272727272728,0.6666666666666666,3.310462633451958,1405,3.584560143626571,1114,3.843255813953489,860,4.011764705882353,663,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5446265938069217,0.593351548269581,0.7255616272009714,0.12386156648451731
fold4_val2026Q2,365.25,0.01,0.1995704189998811,0.7084850030075713,-0.015828760955052486,12709.866198897478,1.4324562998954207,1.7998002915081517,2.0929837352562197,0.2850277264325323,0.24179620034542315,0.6312607944732297,0.73,3.23852544132918,963,3.3824494949494954,792,3.4401253918495303,638,3.432170542635659,516,0.9974160206718347,1.0,0.6296296296296297,0.5902239448751078,0.6315676141257537,0.7876830318690785,0.1731266149870801
fold1_val2024,365.25,0.1,0.1919147281399526,0.7922622882408784,-0.007251797216216316,9613.972017456503,1.0610516999149695,1.8615073168411835,2.127231498939647,0.2580182885219053,0.24788583509513742,0.61892177589852,0.7407407407407407,3.068006700167504,4776,3.1742681906885974,3587,3.5074712643678163,2610,3.8211953514111787,1807,0.97467018469657,0.9963060686015831,0.6179419525065963,0.5639401934916446,0.6191292875989446,0.7525505716798592,0.16517150395778363
fold2_val2025,365.25,0.1,0.11971043879781014,0.7898434571637633,-0.035399152444347846,11276.597537701087,1.326771799940616,1.8595646724703103,2.128799316900734,0.2625994694960212,0.24322925651198896,0.610488183543212,0.7276853252647504,3.28580486807118,4889,3.3947424042272125,3785,3.572886193364252,2803,3.6614146341463414,2050,0.9731404958677686,0.993801652892562,0.609331955922865,0.5646952479338843,0.6105371900826446,0.7540891873278236,0.1534090909090909
fold3_val2026Q1,365.25,0.1,0.17046121554313345,0.7358205418885607,-0.01702550778458059,12143.213950607224,1.2226720000617206,1.9041428656244936,2.179879983050395,0.2569428238039674,0.22484848484848485,0.5927272727272728,0.6666666666666666,3.3143977191732006,1403,3.5790697674418603,1118,3.843255813953489,860,3.9906344410876136,662,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5446265938069217,0.593351548269581,0.7255616272009714,0.12386156648451731
fold4_val2026Q2,365.25,0.1,0.19656555002332463,0.7092188237104808,-0.01697020226489443,12710.13221564603,1.3992236000485718,1.7998225765690252,2.0929892269934007,0.2850277264325324,0.24179620034542315,0.6312607944732297,0.73,3.2341286307053947,964,3.376923076923078,793,3.427201257861635,636,3.432170542635659,516,0.9974160206718347,1.0,0.6296296296296297,0.5902239448751078,0.6315676141257537,0.7876830318690785,0.1731266149870801
fold1_val2024,365.25,1.0,0.19174792260781778,0.7922716407115643,-0.007111272861997738,9614.653077938317,0.978172600036487,1.861507032967438,2.12723032046326,0.2580182885219053,0.24788583509513742,0.61892177589852,0.7407407407407407,3.069710934227063,4774,3.173955431754875,3590,3.5009957870547685,2611,3.826685082872928,1810,0.97467018469657,0.9963060686015831,0.6179419525065963,0.5639401934916446,0.6191292875989446,0.7525505716798592,0.16517150395778363
fold2_val2025,365.25,1.0,0.11742240536310569,0.7903878730900064,-0.03648386927336499,11278.616989513215,0.978524399921298,1.8595760372038055,2.1288016666025897,0.26259946949602125,0.2428842504743833,0.610488183543212,0.7276853252647504,3.2764201062525546,4894,3.3950884605228415,3787,3.5660707901322843,2797,3.6495363591996095,2049,0.9731404958677686,0.993801652892562,0.609331955922865,0.5648243801652892,0.6105371900826446,0.7542613636363636,0.15289256198347106
fold3_val2026Q1,365.25,1.0,0.17414885767291918,0.7350235342205841,-0.016235659370789243,12142.911563447558,1.28455009998288,1.9040887331549075,2.179853281952414,0.2569428238039673,0.22484848484848485,0.5927272727272728,0.6666666666666666,3.308256227758007,1405,3.5663072776280327,1113,3.843255813953489,860,4.0193353474320235,662,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5446265938069217,0.593351548269581,0.7255616272009714,0.12386156648451731
fold4_val2026Q2,365.25,1.0,0.19624553140210793,0.7092995644123701,-0.01610626365495217,12711.09174378311,1.2909870999865234,1.7998209915497498,2.0929916387500813,0.2850277264325323,0.24265975820379965,0.6312607944732297,0.73,3.227933541017653,963,3.3684741488020173,793,3.4401253918495303,638,3.432170542635659,516,0.9974160206718347,1.0,0.6296296296296297,0.5902239448751078,0.6315676141257537,0.7876830318690785,0.1731266149870801
fold1_val2024,547.875,0.001,0.19431914243872747,0.79187369064326,-0.005969878795777175,11744.899521213782,1.0886120999930426,1.861485001544475,2.1272414630008556,0.2580182885219053,0.24788583509513742,0.6187455954897816,0.7407407407407407,3.078527993289998,4769,3.161052338530067,3592,3.516653875671528,2606,3.8288631346578366,1812,0.97467018469657,0.995778364116095,0.6177660510114336,0.5636763412489005,0.6189533861037818,0.7521987686895338,0.16517150395778363
fold2_val2025,547.875,0.001,0.12239265732286936,0.7893046486579,-0.034988401084511844,14613.786627131589,1.2957792000379413,1.859542017601283,2.1288161640929206,0.2625994694960212,0.24322925651198896,0.6108331895808177,0.7276853252647504,3.2762469337694196,4892,3.3964342313787643,3786,3.552066999287241,2806,3.6472019464720193,2055,0.9731404958677686,0.993801652892562,0.609676308539945,0.5648243801652892,0.6108815426997244,0.7542613636363636,0.15392561983471073
fold3_val2026Q1,547.875,0.001,0.1724590229594239,0.7354878201364765,-0.017530155460635553,16488.477728823884,1.2521692999871448,1.904133318511002,2.1798576601358004,0.2569428238039673,0.22545454545454546,0.5927272727272728,0.6666666666666666,3.304700854700855,1404,3.5722470904207704,1117,3.8278362573099405,855,4.027259036144579,664,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5437158469945356,0.593351548269581,0.7243472981177899,0.12386156648451731
fold4_val2026Q2,547.875,0.001,0.19713369663329772,0.7087890274008861,-0.01562558774403379,17259.032374990496,1.2955004000104964,1.7998062511174737,2.0929517584686304,0.2850277264325324,0.24265975820379965,0.6321243523316062,0.73,3.2367325702393344,961,3.4036662452591657,791,3.5295774647887326,639,3.4580896686159845,513,0.9974160206718347,1.0,0.6304909560723514,0.5895779500430663,0.6324289405684754,0.7868217054263565,0.17571059431524547
fold1_val2024,547.875,0.01,0.19412949857109812,0.7918673121592913,-0.0061177562808779245,11745.194055053456,0.9891918000066653,1.8614796767089041,2.127233448935327,0.2580182885219053,0.24806201550387597,0.6187455954897816,0.7407407407407407,3.075906138696836,4773,3.154887218045113,3591,3.5127439724454645,2613,3.816997792494481,1812,0.97467018469657,0.9963060686015831,0.6177660510114336,0.5638082673702726,0.6189533861037818,0.7523746701846966,0.16517150395778363
fold2_val2025,547.875,0.01,0.12256891239958849,0.7892506411092541,-0.03447203021163616,14613.653185884616,1.277013499988243,1.8595378245358896,2.128809241161505,0.2625994694960212,0.24322925651198896,0.6110056925996205,0.7276853252647504,3.277246732026144,4896,3.3965662968832544,3786,3.5469228032728566,2811,3.644941634241245,2056,0.9731404958677686,0.993801652892562,0.6098484848484848,0.5648243801652892,0.6110537190082644,0.7542613636363636,0.15444214876033058
fold3_val2026Q1,547.875,0.01,0.17134414999037623,0.7357061166465041,-0.018954431285603094,16489.063888044573,1.1369252000004053,1.9041343712882493,2.17986652800203,0.2569428238039673,0.22424242424242424,0.5927272727272728,0.6666666666666666,3.3174750356633385,1402,3.5749776586237707,1119,3.8278362573099405,855,4.034841628959275,663,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5437158469945356,0.593351548269581,0.7243472981177899,0.12386156648451731
fold4_val2026Q2,547.875,0.01,0.1966675663433121,0.7089932220499736,-0.01603868551475748,17258.833984942485,1.4261584000196308,1.7998098684749653,2.092950604395768,0.2850277264325323,0.24265975820379965,0.6321243523316062,0.73,3.2323284823284824,962,3.3896464646464644,792,3.5509433962264154,636,3.4580896686159845,513,0.9974160206718347,1.0,0.6304909560723514,0.5895779500430663,0.6324289405684754,0.7868217054263565,0.17571059431524547
