fold,half_life_days,l2,alpha,beta,gamma,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,itm_hit_rate_top3,itm_hit_rate_top4,itm_precision_top3,itm_precision_top4,itm_recall_top3,itm_recall_top4,itm_full_sweep_top_3
fold1_val2024,365.25,0.001,0.10582146014793474,0.8013031253497647,-0.03582929783142577,9386.822695219344,1.47276299999794,1.8626126042877087,2.1272461942461827,0.2580182885219052,0.24735729386892177,0.6171599718111346,0.7407407407407407,3.0615961658678894,4799,3.0435810810810815,3552,3.307680063668922,2513,3.6089392133492253,1678,0.9736147757255936,0.995778364116095,0.6161829375549691,0.5626209322779243,0.6173702726473175,0.7507915567282321,0.16569920844327177
fold2_val2025,365.25,0.001,0.03703349854505311,0.8081958399016811,-0.057257846665177754,11003.79178810763,1.9503578000003472,1.8599242186273284,2.1283018910488343,0.26259946949602125,0.2440917716060031,0.6108331895808177,0.7276853252647504,3.269971086327963,4842,3.376541879881497,3713,3.523478260869565,2760,3.5571071071071074,1998,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5665030991735537,0.6108815426997246,0.7565857438016529,0.15289256198347106
fold3_val2026Q1,365.25,0.001,-0.010334398248624596,0.7817937188674675,-0.08786874328285066,11881.268092729944,1.3328963000021758,1.9050395393668964,2.1786027188206196,0.2569428238039673,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3122668579626966,1394,3.5325987144168964,1089,3.7602959309494457,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5450819672131147,0.5939587128111719,0.7261687917425622,0.12750455373406194
fold4_val2026Q2,365.25,0.001,0.15466419758892014,0.7072628095129178,-0.015414800731083653,12469.750747214486,1.8115360000010696,1.8002122965983105,2.092745472627338,0.2850277264325324,0.2452504317789292,0.6364421416234888,0.73,3.2297916666666664,960,3.3132911392405062,790,3.6020344287949917,639,3.5119460500963386,519,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,365.25,0.01,0.1036568733278036,0.8019916865480814,-0.03648899817780727,9387.025465795045,1.2879331999938586,1.8626266520582182,2.127239905989996,0.2580182885219053,0.24718111346018323,0.616983791402396,0.7407407407407407,3.0738125,4800,3.050760563380282,3550,3.28509366281387,2509,3.647346451997615,1677,0.9736147757255936,0.995778364116095,0.6160070360598066,0.5627528583992963,0.6171943711521549,0.7509674582233947,0.16517150395778363
fold2_val2025,365.25,0.01,0.03735655962658194,0.8080702010342994,-0.057131279748639914,11002.923273998229,1.7328831999984686,1.8599256599562457,2.1283066060256366,0.2625994694960212,0.2440917716060031,0.6108331895808177,0.7276853252647504,3.2682080924855494,4844,3.375363489499192,3714,3.5148658448150836,2758,3.5571071071071074,1998,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5663739669421488,0.6108815426997246,0.7564135674931128,0.15289256198347106
fold3_val2026Q1,365.25,0.01,-0.010328367279028944,0.7817912940072679,-0.08786709390333446,11881.272402804983,1.5869643999976688,1.9050395678008147,2.1786028171965532,0.2569428238039673,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3122668579626966,1394,3.5325987144168964,1089,3.7602959309494457,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5450819672131147,0.5939587128111719,0.7261687917425622,0.12750455373406194
fold4_val2026Q2,365.25,0.01,0.1558358569591107,0.7067726164632192,-0.015443100908684379,12469.674647344325,3.4484597999980906,1.8002050902968119,2.092749296700673,0.2850277264325324,0.2452504317789292,0.6364421416234888,0.73,3.241145833333334,960,3.3132911392405062,790,3.587912087912088,637,3.4483558994197288,517,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,365.25,0.1,0.1058852657207718,0.8013120805982585,-0.0356970854173251,9386.873778891724,1.750604699998803,1.8626127834673052,2.1272475055006224,0.2580182885219053,0.24718111346018323,0.616983791402396,0.7407407407407407,3.0616715298040846,4798,3.0549957782155923,3553,3.305966587112172,2514,3.6144391408114567,1676,0.9736147757255936,0.995778364116095,0.6160070360598066,0.5626209322779243,0.6171943711521549,0.7507915567282321,0.16517150395778363
fold2_val2025,365.25,0.1,0.03716339124466617,0.8081620209068987,-0.05720748398515506,11003.880497572278,1.4380584000027739,1.859923581009452,2.1283026060406676,0.2625994694960212,0.2440917716060031,0.6108331895808177,0.7276853252647504,3.269971086327963,4842,3.375363489499192,3714,3.5218399130749725,2761,3.5571071071071074,1998,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5665030991735537,0.6108815426997246,0.7565857438016529,0.15289256198347106
fold3_val2026Q1,365.25,0.1,-0.0074375140102445995,0.7807103707720334,-0.08701801538059349,11881.175024709511,2.0214750000013737,1.905052243305142,2.1786472411584397,0.2569428238039673,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.294555873925502,1396,3.5242896425297894,1091,3.775709001233046,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5450819672131147,0.5939587128111719,0.7261687917425622,0.12750455373406194
fold4_val2026Q2,365.25,0.1,0.15536564865095487,0.7070539445686223,-0.015167952765755664,12469.818220833144,2.081159099994693,1.8002089242658856,2.0927482406545344,0.2850277264325324,0.2452504317789292,0.6364421416234888,0.73,3.2297916666666664,960,3.3132911392405062,790,3.6020344287949917,639,3.5119460500963386,519,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,365.25,1.0,0.10606486968273378,0.8012731855085233,-0.03578995036634858,9387.489531898618,1.350180300003558,1.862611917724392,2.127252575756341,0.2580182885219053,0.24735729386892177,0.6171599718111346,0.7407407407407407,3.0601542952460385,4796,3.0538548114800226,3554,3.305966587112172,2514,3.6061941631923764,1679,0.9736147757255936,0.995778364116095,0.6161829375549691,0.5626209322779243,0.6173702726473175,0.7507915567282321,0.16569920844327177
